Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
85764174.0,85764174.0,162538000.0,180668000.0,597141000.0,777809000.0,271300000.0,597141000.0,597141000.0,608049000.0,597141000.0,597141000.0,,,,171528000.0,171528000.0,443969000.0,10908000.0,,,,10908000.0,10908000.0,433061000.0,40943000.0,169760000.0,169760000.0,6137000.0,216221000.0,,,216221000.0,1041110000.0,336749000.0,1047000.0,,,10279000.0,,,197296000.0,,197296000.0,70041000.0,127255000.0,,,,,704361000.0,33977000.0,,273396000.0,,,,167924000.0,,210934000.0,18130000.0,18130000.0,,,2024-03-31
66930495.0,66930495.0,280332000.0,295061000.0,149883000.0,444944000.0,73392000.0,149883000.0,149883000.0,251102000.0,149883000.0,149883000.0,4292000.0,13425000.0,2800000.0,133861000.0,133861000.0,482660000.0,101219000.0,0.0,0.0,0.0,101219000.0,101219000.0,381441000.0,39815000.0,193842000.0,193842000.0,5355000.0,178849000.0,2918000.0,5291000.0,170640000.0,632543000.0,177711500.0,364000.0,364500.0,810000.0,10279000.0,10279000.0,0.0,166258000.0,-147134000.0,313392000.0,44691000.0,3480000.0,200911000.0,39951000.0,24359000.0,0.0,454833000.0,32334000.0,19153000.0,196315000.0,54855000.0,28026000.0,113434000.0,12653000.0,25835000.0,198801000.0,14729000.0,14729000.0,8127000.0,6602000.0,2023-03-31
