Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Restructuring And Mergern Acquisition
195741444.86692,0.250951,37660000000.0,780000000.0,780000000.0,25580000000.0,3200000000.0,72570000000.0,38440000000.0,35240000000.0,-1050000000.0,1050000000.0,24995741444.86692,25580000000.0,118260000000.0,,,,,25580000000.0,25580000000.0,0.0,25580000000.0,-30000000.0,25610000000.0,,,25610000000.0,8580000000.0,34190000000.0,2310000000.0,780000000.0,,-1050000000.0,1050000000.0,32150000000.0,45690000000.0,19700000000.0,3200000000.0,3200000000.0,16160000000.0,16160000000.0,77840000000.0,72570000000.0,150410000000.0,150410000000.0,2024-03-31,
-81596516.690856,0.271988,38790000000.0,-300000000.0,-300000000.0,25090000000.0,3130000000.0,74790000000.0,38490000000.0,35360000000.0,-910000000.0,910000000.0,25308403483.309143,25090000000.0,119410000000.0,2349250936.0,2349250936.0,10.68,10.68,25090000000.0,25090000000.0,0.0,25090000000.0,10000000.0,25080000000.0,,0.0,25080000000.0,9370000000.0,34450000000.0,2140000000.0,-300000000.0,,-910000000.0,910000000.0,33530000000.0,44620000000.0,20900000000.0,3130000000.0,3130000000.0,16260000000.0,16260000000.0,78150000000.0,74790000000.0,152940000000.0,152940000000.0,2023-12-31,
-12973801.560758,0.259476,39780000000.0,-50000000.0,-50000000.0,26560000000.0,2970000000.0,73450000000.0,39730000000.0,36760000000.0,-880000000.0,880000000.0,26597026198.439243,26560000000.0,118640000000.0,2350442478.0,2350442478.0,11.3,11.3,26560000000.0,26560000000.0,0.0,26560000000.0,-10000000.0,26570000000.0,,0.0,26570000000.0,9310000000.0,35880000000.0,1830000000.0,-50000000.0,,-880000000.0,880000000.0,35000000000.0,45190000000.0,19730000000.0,2970000000.0,2970000000.0,17420000000.0,17420000000.0,80190000000.0,73450000000.0,153640000000.0,153640000000.0,2023-09-30,
-97772020.725389,0.264249,38470000000.0,-370000000.0,-370000000.0,25540000000.0,2860000000.0,76790000000.0,38100000000.0,35240000000.0,-500000000.0,500000000.0,25812227979.27461,25540000000.0,118880000000.0,2349586017.0,2349586017.0,10.87,10.87,25540000000.0,25540000000.0,0.0,25540000000.0,-20000000.0,25560000000.0,,0.0,25560000000.0,9180000000.0,34740000000.0,1830000000.0,-370000000.0,,-500000000.0,500000000.0,33790000000.0,42090000000.0,19420000000.0,2860000000.0,2860000000.0,15050000000.0,15050000000.0,75880000000.0,76790000000.0,152670000000.0,152670000000.0,2023-06-30,
456596049.24134,0.255082,36340000000.0,1790000000.0,1790000000.0,26010000000.0,2910000000.0,91340000000.0,38130000000.0,35220000000.0,3820000000.0,290000000.0,24676596049.24134,26000000000.0,123730000000.0,,,,,26000000000.0,26000000000.0,0.0,26000000000.0,-10000000.0,26010000000.0,0.0,-10000000.0,26020000000.0,8910000000.0,34930000000.0,1600000000.0,800000000.0,-3170000000.0,3820000000.0,290000000.0,32830000000.0,32390000000.0,-15930000000.0,2910000000.0,2670000000.0,32830000000.0,32830000000.0,65220000000.0,91340000000.0,156560000000.0,156560000000.0,2023-03-31,
,,,,,,,,,,,,,,,2349477683.0,2349477683.0,10.53,10.53,,,,,,,0.0,0.0,,,,,,1030000000.0,,,,,,,,,,,,,,2022-12-31,
-124726551.431,0.259847,39990000000.0,-480000000.0,-480000000.0,26100000000.0,3290000000.0,75450000000.0,39510000000.0,36220000000.0,-930000000.0,930000000.0,26455273448.569,26100000000.0,121080000000.0,2349234923.0,2349234923.0,11.11,11.11,26100000000.0,26100000000.0,0.0,26100000000.0,-20000000.0,26120000000.0,,,26120000000.0,9170000000.0,35290000000.0,2570000000.0,-480000000.0,,-930000000.0,930000000.0,34150000000.0,45630000000.0,20810000000.0,3290000000.0,3290000000.0,16810000000.0,16810000000.0,79780000000.0,75450000000.0,155230000000.0,155230000000.0,2024-06-30 00:00:00,480000000.0
