Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
52697106.0,52697106.0,3112497000.0,3188085000.0,-9733444000.0,-6576461000.0,1224996000.0,-9733444000.0,31102000.0,-9733444000.0,-6576904000.0,-9733444000.0,-9733444000.0,-10260415000.0,,,526971000.0,526971000.0,24914515000.0,23552000000.0,-1000.0,,,,3185423000.0,28883000.0,3156540000.0,1621000.0,1362515000.0,310560000.0,,2662000.0,2219000.0,443000.0,,8533000.0,1040669000.0,,,,1040669000.0,15181071000.0,12593561000.0,33018000.0,,,,9401000.0,9401000.0,,,,12551142000.0,,12551142000.0,1976969000.0,10574173000.0,,,,,2587511000.0,697022000.0,,,1202838000.0,,,,,1420000.0,,587869000.0,,,98362000.0,53876000.0,44486000.0,44486000.0,2024-03-31
52697106.0,52697106.0,3403780000.0,3439907000.0,-9719983000.0,-6280076000.0,1345783000.0,-9719983000.0,,-9719983000.0,-6280519000.0,-9719983000.0,-9719983000.0,-10246954000.0,,,526971000.0,526971000.0,24289491000.0,23599695000.0,,,,,3439464000.0,,3439464000.0,,689796000.0,81660000.0,,443000.0,,443000.0,,16891000.0,590612000.0,,,,590612000.0,14569508000.0,12533930000.0,20572000.0,,,,11867000.0,11867000.0,,,,12501491000.0,,,,,,,,,2035579000.0,,,640997000.0,990596000.0,,,,,105000.0,,342831000.0,,,61050000.0,24923000.0,36127000.0,36127000.0,2023-09-30
52697106.0,52697106.0,23396909994.0,23434141723.0,-9798885588.0,13635256135.0,1021425182.0,-9798885588.0,,-9798885588.0,13634813134.0,-9798885588.0,-9798885588.0,-10325857000.0,-20481445862.0,0.0,526971060.0,526971060.0,23867040108.0,23433798220.0,-2.0,0.0,0.0,0.0,23433698722.0,,23433698722.0,,433241888.0,131200000.0,0.0,443001.0,,443001.0,24188940.0,8211000.0,315559979.0,14043091.0,0.0,14880550.0,286636338.0,14068154520.0,12613487450.0,13000.0,11338916.0,0.0,0.0,11339000.0,11339000.0,0.0,0.0,0.0,12582965278.0,-5066465241.0,17649430519.0,1884504209.0,626316812.0,12252891214.0,1854504345.0,1031213939.0,0.0,1454667070.0,1.0,75948806.0,645922964.0,680136924.0,29966301.0,254623256.0,76957724.0,318589643.0,365327.0,0.0,65753014.0,-9782617348.0,9848370362.0,-13459966.0,-50691695.0,37231729.0,37231729.0,2023-03-31
