Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
157296781.0,157296781.0,57496162000.0,57842267000.0,-60213576000.0,-2641331000.0,-57660606000.0,-60213576000.0,270022000.0,-60213576000.0,-57556713000.0,-60213576000.0,-60213576000.0,-61786544000.0,,,1572968000.0,1572968000.0,62268093000.0,2859107000.0,,,,2844872000.0,188009000.0,2656863000.0,14235000.0,59408986000.0,1023104000.0,54997395000.0,82013000.0,54915382000.0,,1743000.0,108324000.0,,,,108324000.0,2054517000.0,306137000.0,,,6452000.0,6452000.0,0.0,0.0,,299685000.0,,299685000.0,299685000.0,,,,1748380000.0,896428000.0,,,,121168000.0,214307000.0,,,516477000.0,440394000.0,76083000.0,,2024-03-31
157296781.0,157296781.0,59950355000.0,60020083000.0,-61615987000.0,-1606367000.0,-59398808000.0,-61615987000.0,14935000.0,-61611515000.0,-59091239000.0,-61611515000.0,-61611515000.0,-63184483000.0,,,1572968000.0,1572968000.0,64347825000.0,2550639000.0,,,,2533597000.0,13321000.0,2520276000.0,17042000.0,61797186000.0,1008992000.0,57486486000.0,1614000.0,57484872000.0,,2564000.0,108286000.0,,,,108286000.0,2736310000.0,337932000.0,,,5918000.0,5918000.0,2110000.0,4472000.0,,325432000.0,,325432000.0,325432000.0,,,,2398378000.0,955003000.0,,,,202396000.0,811250000.0,,,429729000.0,374936000.0,54793000.0,,2023-09-30
157296781.0,157296781.0,58205500000.0,58278300000.0,-62325900000.0,-4063300000.0,-60430300000.0,-62325900000.0,21700000.0,-62319900000.0,-62319900000.0,-62319900000.0,-62319900000.0,5709200000.0,-81179000000.0,6479700000.0,1573000000.0,1573000000.0,64898500000.0,2405800000.0,100000.0,2390700000.0,12200000.0,2800000.0,2800000.0,2390711000.0,12271000.0,62492700000.0,874000000.0,58275500000.0,18900000.0,58256600000.0,2500000.0,2484000.0,893100000.0,706100000.0,2000000.0,76600000.0,108400000.0,2578600000.0,516200000.0,-100000.0,6100000.0,6091000.0,6091000.0,2100000.0,6000000.0,6000000.0,502100000.0,-1815700000.0,2317800000.0,486700000.0,1241500000.0,589600000.0,0.0,2062400000.0,868696000.0,75100000.0,935100000.0,527900000.0,141600000.0,331600000.0,-1058600000.0,1390200000.0,51100000.0,632661000.0,51100000.0,51100000.0,2023-03-31
