Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,681196000.0,682290000.0,2369355000.0,3051645000.0,106463000.0,2369355000.0,2369355000.0,2997708000.0,2369355000.0,2369355000.0,2155856000.0,,,213499000.0,213499000.0,1204129000.0,736286000.0,,,88443000.0,628353000.0,628353000.0,19490000.0,467843000.0,144260000.0,,53937000.0,53937000.0,,3385000.0,178761000.0,,178761000.0,3573484000.0,2999178000.0,169890000.0,,,,,2826282000.0,,2826282000.0,76981000.0,2749301000.0,,,,,574306000.0,146334000.0,,223335000.0,,,,201476000.0,3161000.0,2067000.0,1094000.0,,2023-09-30
17118000.0,17118000.0,1190847000.0,1191780000.0,1733472000.0,2925252000.0,14241000.0,1733472000.0,1733472000.0,2715752000.0,1733472000.0,1733472000.0,1543071000.0,688647000.0,860442000.0,190400000.0,190400000.0,1629908000.0,1084991000.0,-1000.0,16978000.0,85734000.0,982280000.0,982280000.0,16978000.0,544917000.0,34405000.0,15100000.0,209500000.0,209500000.0,2949000.0,2950000.0,260880000.0,15100000.0,260880000.0,3363380000.0,2804223000.0,-193000.0,73297000.0,0.0,0.0,0.0,2731119000.0,-383182000.0,3114301000.0,64544000.0,392572000.0,2028365000.0,575463000.0,53357000.0,0.0,559158000.0,,149200000.0,153975000.0,29219000.0,124756000.0,149200000.0,220757000.0,35226000.0,34293000.0,933000.0,933000.0,2023-03-31
