Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.257613,7001600000.0,24800000.0,7613000000.0,12403000000.0,20016000000.0,7001600000.0,7001600000.0,,,,,7001600000.0,7001600000.0,7001600000.0,7001600000.0,7001600000.0,2429600000.0,9431200000.0,514200000.0,1084600000.0,75000000.0,24800000.0,24800000.0,9533600000.0,9533600000.0,2024-03-31
0.0,0.254119,5192300000.0,24600000.0,6673900000.0,13127300000.0,19801200000.0,5192300000.0,5192300000.0,2004749035.0,2004749035.0,2.59,2.59,5192300000.0,5192300000.0,5192300000.0,5192300000.0,5192300000.0,1769000000.0,6961300000.0,172700000.0,716500000.0,374300000.0,24600000.0,24600000.0,7087300000.0,7087300000.0,2023-12-31
0.0,0.25517,4516500000.0,24400000.0,6272500000.0,12167600000.0,18440100000.0,4516500000.0,4516500000.0,1998451327.0,1998451327.0,2.26,2.26,4516500000.0,4516500000.0,4516500000.0,4516500000.0,4516500000.0,1547300000.0,6063800000.0,-10000000.0,832900000.0,257400000.0,24400000.0,24400000.0,6622400000.0,6622400000.0,2023-09-30
0.0,0.254467,4456500000.0,24800000.0,6364500000.0,11910300000.0,18274800000.0,4456500000.0,4456500000.0,1998430493.0,1998430493.0,2.23,2.23,4456500000.0,4456500000.0,4456500000.0,4456500000.0,4456500000.0,1521100000.0,5977600000.0,10000000.0,854100000.0,357700000.0,24800000.0,24800000.0,6598300000.0,6598300000.0,2023-06-30
0.0,0.260477,6391400000.0,28100000.0,7165600000.0,11468800000.0,18634400000.0,6391400000.0,6391400000.0,,,,,6391400000.0,6391400000.0,6391400000.0,6391400000.0,6391400000.0,2251200000.0,8642600000.0,61200000.0,1237300000.0,-432800000.0,28100000.0,28100000.0,7115900000.0,7115900000.0,2023-03-31
,,,,,,,,,2002125984.0,2002125984.0,1.27,1.27,,,,,,,,,,,,,,,2022-12-31
0.0,0.18541,5577500000.0,19600000.0,7109100000.0,14636900000.0,21746000000.0,5577500000.0,5577500000.0,1999103943.0,1999103943.0,2.79,2.79,5577500000.0,5577500000.0,5577500000.0,5577500000.0,5577500000.0,1269500000.0,6847000000.0,600000.0,673500000.0,255100000.0,19600000.0,19600000.0,7333600000.0,7333600000.0,2024-06-30 00:00:00
