Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.002427,7767000.0,,,3288000.0,1859000.0,6760000.0,7767000.0,5908000.0,-2612000.0,2612000.0,3288000.0,3288000.0,16290000.0,,,,,3288000.0,3288000.0,0.0,3288000.0,3288000.0,,3288000.0,8000.0,3296000.0,221000.0,,,-2612000.0,2612000.0,5687000.0,9530000.0,7671000.0,1859000.0,1859000.0,15217000.0,6760000.0,21977000.0,21977000.0,2024-03-31
0.0,0.008707,5966000.0,0.0,0.0,2960000.0,1762000.0,6867000.0,5966000.0,4204000.0,-1218000.0,1218000.0,2960000.0,2960000.0,10756000.0,400000000.0,400000000.0,0.0074,0.0074,2960000.0,2960000.0,0.0,2960000.0,2960000.0,0.0,2960000.0,26000.0,2986000.0,43000.0,0.0,0.0,-1218000.0,1218000.0,4161000.0,3889000.0,2127000.0,1762000.0,1762000.0,8050000.0,6867000.0,14917000.0,14917000.0,2023-12-31
0.0,0.0018,5815000.0,0.0,0.0,2773000.0,1831000.0,8304000.0,5815000.0,3984000.0,-1206000.0,1206000.0,2773000.0,2773000.0,15230000.0,396142857.0,396142857.0,0.007,0.007,2773000.0,2773000.0,0.0,2773000.0,2773000.0,0.0,2773000.0,5000.0,2778000.0,70000.0,0.0,0.0,-1206000.0,1206000.0,3914000.0,6926000.0,5095000.0,1831000.0,1831000.0,10840000.0,8304000.0,19144000.0,19144000.0,2023-09-30
0.0,0.017,5581000.0,,,2313000.0,1920000.0,10541000.0,5581000.0,3661000.0,-1308000.0,1308000.0,2313000.0,2313000.0,15106000.0,398793103.0,398793103.0,0.0058,0.0058,2313000.0,2313000.0,0.0,2313000.0,2313000.0,0.0,2313000.0,40000.0,2353000.0,62000.0,,,-1308000.0,1308000.0,3599000.0,4565000.0,2645000.0,1920000.0,1920000.0,8164000.0,10541000.0,18705000.0,18705000.0,2023-06-30
0.0,0.051295,11970370.0,-510000.0,-510000.0,2556200.0,1800090.0,17355160.0,11970370.0,10170280.0,-7122930.0,7475870.0,2556200.0,2556200.0,25492080.0,,,,,2556200.0,2556200.0,0.0,2556200.0,2556200.0,0.0,2556200.0,138210.0,2694410.0,-308000.0,-510000.0,0.0,-7122930.0,7475870.0,10635340.0,8136920.0,-5380730.0,1800090.0,1800090.0,18772260.0,17355160.0,36127420.0,36127420.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,287427466.0,287427466.0,0.00517,0.00517,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,2022-12-31
0.0,0.004795,6911000.0,0.0,0.0,3528000.0,1718000.0,6824000.0,6911000.0,5193000.0,-1648000.0,1648000.0,3528000.0,3528000.0,11269000.0,464919786.0,464919786.0,0.007588,0.007588,3528000.0,3528000.0,0.0,3528000.0,3528000.0,,3528000.0,17000.0,3545000.0,69000.0,0.0,0.0,-1648000.0,1648000.0,5124000.0,4445000.0,2727000.0,1718000.0,1718000.0,9569000.0,6824000.0,16393000.0,16393000.0,2024-06-30 00:00:00
