Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
1115492683.0,1115492683.0,362668100000.0,370696500000.0,109416600000.0,496504200000.0,839100000.0,109416600000.0,607800000.0,126415500000.0,462011700000.0,137031300000.0,10615800000.0,126415500000.0,115260600000.0,,,11154900000.0,11154900000.0,448756800000.0,369128300000.0,4742000000.0,,373900000.0,,16527800000.0,336051100000.0,454900000.0,335596200000.0,6302300000.0,79628500000.0,6306800000.0,34645400000.0,152900000.0,34492500000.0,985100000.0,17252900000.0,,31800000.0,17221100000.0,585788100000.0,505320500000.0,43242200000.0,,,404300000.0,,41649100000.0,,41649100000.0,16998900000.0,11016000000.0,5982900000.0,402225400000.0,,402225400000.0,30026900000.0,372198500000.0,,,,,80467600000.0,7871500000.0,,,,2552800000.0,,4077800000.0,15649500000.0,,,50316000000.0,42895400000.0,7420600000.0,,,2024-03-31
1115492683.0,1115492683.0,354560300000.0,360308100000.0,102074700000.0,478605700000.0,11996100000.0,102074700000.0,677800000.0,118975400000.0,454744500000.0,129165100000.0,10189700000.0,118975400000.0,107820500000.0,,,11154900000.0,11154900000.0,428134500000.0,365824000000.0,4002900000.0,,342600000.0,,14549800000.0,336297300000.0,528200000.0,335769100000.0,5979500000.0,62310500000.0,4415200000.0,24010800000.0,149600000.0,23861200000.0,800000000.0,17048500000.0,,449300000.0,16599200000.0,557299600000.0,482993000000.0,33819300000.0,,,408600000.0,,42293300000.0,,42293300000.0,16900700000.0,10917800000.0,5982900000.0,388658500000.0,,388658500000.0,41340400000.0,347318100000.0,,,,,74306600000.0,2005700000.0,,,,1893500000.0,,4768800000.0,15139200000.0,,,50499400000.0,45429400000.0,5070000000.0,,,2023-09-30
1115492683.0,1115492683.0,340082000000.0,342700300000.0,99648000000.0,458612800000.0,-742600000.0,99648000000.0,711900000.0,116624400000.0,429928300000.0,127599900000.0,10975500000.0,116624400000.0,105469500000.0,31493800000.0,62708500000.0,11154900000.0,11154900000.0,411717600000.0,341544700000.0,3329600000.0,44000000.0,3668600000.0,3333000000.0,15401000000.0,313820800000.0,516900000.0,313303900000.0,5277300000.0,70172900000.0,2467300000.0,28879500000.0,195000000.0,28684500000.0,1192900000.0,30084500000.0,12000100000.0,80100000.0,18004300000.0,539317500000.0,469887200000.0,19638300000.0,9125600000.0,9462600000.0,,8996500000.0,13413400000.0,3128900000.0,10284500000.0,16976400000.0,10993500000.0,5982900000.0,371479400000.0,-80256800000.0,451736200000.0,62004400000.0,69732400000.0,271804900000.0,12970000000.0,35224500000.0,0.0,69430300000.0,2090100000.0,272100000.0,8337000000.0,2223400000.0,1519100000.0,1519100000.0,22806700000.0,14375900000.0,-244500000.0,14620400000.0,19896100000.0,17989700000.0,1906400000.0,235300000.0,1671100000.0,2023-03-31
