Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
15828248.0,15828248.0,698083000.0,888434000.0,1086401000.0,2078497000.0,190834000.0,1086401000.0,133804000.0,1323867000.0,1501940000.0,1323867000.0,1323867000.0,1165585000.0,,,158282000.0,158282000.0,2482947000.0,391915000.0,22935000.0,,124915000.0,244060000.0,65987000.0,178073000.0,2091032000.0,316827000.0,644374000.0,67817000.0,576557000.0,25505000.0,1047426000.0,,,1047426000.0,3806814000.0,1524948000.0,10418000.0,,3127000.0,,3127000.0,237466000.0,237466000.0,1273937000.0,,1273937000.0,0.0,1273937000.0,,,,,2281866000.0,179938000.0,,1405273000.0,,,,168314000.0,,289877000.0,238464000.0,181917000.0,56547000.0,,,2023-09-30
15828248.0,15828248.0,719120000.0,885466000.0,1337201000.0,2265489000.0,412266000.0,1337201000.0,139539000.0,1519562000.0,1707226000.0,1519562000.0,1519562000.0,1361280000.0,1029622000.0,223753000.0,158282000.0,158282000.0,2076726000.0,423151000.0,-1000.0,22934000.0,145159000.0,255054000.0,67390000.0,187664000.0,1653575000.0,6029000.0,630412000.0,72149000.0,558263000.0,13444000.0,974909000.0,424000.0,3758000.0,970727000.0,3596288000.0,1530448000.0,8804000.0,3084000.0,43000.0,18000.0,25000.0,182361000.0,182361000.0,1344960000.0,-903646000.0,2248606000.0,72844000.0,351320000.0,1447006000.0,371996000.0,5440000.0,0.0,2065841000.0,17450000.0,177367000.0,1374665000.0,432108000.0,644549000.0,298008000.0,455000.0,3692000.0,465329000.0,26883000.0,76000.0,26807000.0,22200000.0,4607000.0,2023-03-31
