Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
14872291.0,14872291.0,259262000.0,2033153000.0,2113122000.0,955821000.0,2033153000.0,190109000.0,2043969000.0,2043969000.0,2058518000.0,14549000.0,2043969000.0,1895246000.0,,,148723000.0,148723000.0,1037677000.0,253188000.0,,26387000.0,184274000.0,184274000.0,0.0,42527000.0,784489000.0,71786000.0,74988000.0,5835000.0,69153000.0,,351000.0,581080000.0,,0.0,581080000.0,3096195000.0,1355885000.0,59654000.0,,33226000.0,10858000.0,10858000.0,2184000.0,2184000.0,10816000.0,,1225098000.0,,1225098000.0,90519000.0,1134579000.0,,,,,1740310000.0,95901000.0,,,960816000.0,,,,,528843000.0,,,154750000.0,9145000.0,145605000.0,,,2024-03-31
14872291.0,14872291.0,194055000.0,1834569000.0,1847024000.0,875143000.0,1834569000.0,194055000.0,1847024000.0,1847024000.0,1847024000.0,,1847024000.0,1698301000.0,,,148723000.0,148723000.0,776084000.0,244396000.0,,25702000.0,187821000.0,187821000.0,,30873000.0,531688000.0,62527000.0,6234000.0,6234000.0,0.0,,549000.0,399939000.0,,0.0,399939000.0,2623108000.0,1216277000.0,90602000.0,,,11629000.0,11629000.0,,,12455000.0,12455000.0,1082470000.0,,1082470000.0,25717000.0,1056753000.0,,,,,1406831000.0,76463000.0,,,833800000.0,,,,,327602000.0,,,168966000.0,109222000.0,59744000.0,,,2023-09-30
14872291.0,14872291.0,9704000.0,1758348000.0,1772228000.0,850765000.0,1758348000.0,9704000.0,1772228000.0,1772228000.0,1772228000.0,,1772228000.0,1623505000.0,196007000.0,209694000.0,148723000.0,148723000.0,602349000.0,57605000.0,24806000.0,30236000.0,2563000.0,2563000.0,,24806000.0,544744000.0,47128000.0,7141000.0,7141000.0,0.0,549000.0,549000.0,397191000.0,853000.0,2764000.0,393574000.0,2374577000.0,979068000.0,49962000.0,14590000.0,,46000.0,46000.0,,,13880000.0,13880000.0,936714000.0,-759957000.0,1696671000.0,56647000.0,625320000.0,602286000.0,362738000.0,49680000.0,0.0,1395509000.0,91771000.0,853000.0,84027000.0,789475000.0,475429000.0,8609000.0,305437000.0,8779000.0,386417000.0,-9653000.0,396070000.0,125958000.0,49962000.0,75996000.0,50100000.0,25896000.0,2023-03-31
