Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
143643940.0,143643940.0,749680000.0,9701500000.0,10273190000.0,4350450000.0,9701500000.0,498010000.0,10021520000.0,10021520000.0,10021520000.0,10021520000.0,2290000.0,,,143640000.0,143640000.0,7773300000.0,723060000.0,,133240000.0,452230000.0,452230000.0,137590000.0,7050240000.0,203920000.0,297450000.0,45780000.0,251670000.0,197410000.0,5879490000.0,,,2110000.0,5877380000.0,17794820000.0,6394130000.0,203930000.0,,127970000.0,127970000.0,,62700000.0,320020000.0,320020000.0,5606360000.0,,5606360000.0,391520000.0,5214840000.0,,,,,11400690000.0,374120000.0,,,,,3015160000.0,,,,5260000.0,4914330000.0,,,3091820000.0,2492540000.0,599280000.0,,,2024-03-31,
143643940.0,143643940.0,489670000.0,9184510000.0,9336060000.0,4326040000.0,9184510000.0,489670000.0,9336060000.0,9336060000.0,9336060000.0,9336060000.0,9192420000.0,,,143640000.0,143640000.0,6614340000.0,716280000.0,,126230000.0,456240000.0,456240000.0,133810000.0,5898060000.0,144630000.0,33430000.0,33430000.0,,168770000.0,5025250000.0,,,73000000.0,4952250000.0,15950400000.0,5726300000.0,148940000.0,,146660000.0,146660000.0,,63240000.0,151550000.0,151550000.0,5147770000.0,,5147770000.0,758270000.0,4389500000.0,,,,,10224100000.0,367220000.0,,,,,2467900000.0,,,,4660000.0,4494720000.0,,,2889600000.0,2373600000.0,516000000.0,,,2023-09-30,
143643940.0,143643940.0,111640000.0,8555790000.0,8702620000.0,4230260000.0,8555790000.0,111640000.0,8702620000.0,8702620000.0,8702620000.0,8702620000.0,8558980000.0,7899180000.0,271770000.0,143640000.0,143640000.0,5577400000.0,384320000.0,131300000.0,159300000.0,93720000.0,93720000.0,131300000.0,5193080000.0,89440000.0,17920000.0,17920000.0,,203550000.0,4820520000.0,289730000.0,16220000.0,110030000.0,4404540000.0,14280020000.0,4856680000.0,119530000.0,242950000.0,12040000.0,640000.0,11400000.0,63770000.0,146830000.0,146830000.0,4343320000.0,-2671130000.0,7014450000.0,296420000.0,195180000.0,4826720000.0,1101560000.0,594570000.0,0.0,9423340000.0,4580000.0,0.0,0.0,16220000.0,278850000.0,2248070000.0,709060000.0,376990000.0,1162020000.0,54820000.0,3837150000.0,-56640000.0,3893790000.0,2983650000.0,2585370000.0,398280000.0,0.0,398280000.0,2023-03-31,
