Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Capital Lease Obligations,Other Non Current Liabilities,Long Term Capital Lease Obligation,Current Deferred Taxes Liabilities,Current Capital Lease Obligation,Cash Equivalents
129320370.0,129320370.0,,1211000.0,2925157000.0,2932709000.0,1990409000.0,2925157000.0,2931498000.0,2932132000.0,2931498000.0,2931498000.0,2672857000.0,,,258641000.0,258641000.0,818197000.0,7829000.0,,7195000.0,634000.0,634000.0,810368000.0,239688000.0,577000.0,577000.0,,570103000.0,,18677000.0,551426000.0,3749695000.0,948918000.0,30482000.0,,,0.0,34584000.0,34584000.0,,6341000.0,6341000.0,,877511000.0,,877511000.0,53783000.0,823728000.0,,,,,2800777000.0,206894000.0,,589424000.0,,,,0.0,947228000.0,,,1057231000.0,292228000.0,765003000.0,,2024-03-31,,,,,,
129320370.0,129320370.0,,2038000.0,2734175000.0,2742810000.0,1971137000.0,2734175000.0,2740772000.0,2741984000.0,2740772000.0,2740772000.0,2482131000.0,,,258641000.0,258641000.0,730535000.0,4378000.0,,3166000.0,1212000.0,1212000.0,726157000.0,126511000.0,826000.0,826000.0,,598820000.0,,38175000.0,560645000.0,3471307000.0,774014000.0,47575000.0,,,0.0,0.0,,0.0,6597000.0,6597000.0,0.0,719842000.0,,719842000.0,159536000.0,560306000.0,,,,,2697294000.0,163058000.0,,599991000.0,,,,0.0,1007349000.0,,,926896000.0,713784000.0,213112000.0,,2023-09-30,,,,,,
129320370.0,129320370.0,388740000.0,450060000.0,1133180000.0,1590990000.0,755070000.0,1133180000.0,1140930000.0,1337790000.0,1140930000.0,1140930000.0,,670340000.0,241950000.0,228640000.0,228640000.0,998840000.0,209520000.0,9860000.0,2800000.0,196860000.0,196860000.0,789320000.0,-10000.0,253200000.0,253200000.0,,488810000.0,61780000.0,60720000.0,366310000.0,2139770000.0,595380000.0,-30000.0,5990000.0,19790000.0,0.0,,,,7750000.0,7750000.0,,561880000.0,-709240000.0,1271120000.0,6430000.0,36130000.0,823470000.0,242950000.0,162140000.0,0.0,1544390000.0,,252090000.0,560070000.0,30290000.0,293590000.0,236190000.0,0.0,669700000.0,0.0,669700000.0,62530000.0,1210000.0,61320000.0,61320000.0,2023-03-31,,,,,,
129320370.0,129320370.0,418690000.0,475550000.0,1055800000.0,1538050000.0,709660000.0,1055800000.0,1062500000.0,1286110000.0,1062500000.0,1062500000.0,,591910000.0,241950000.0,228640000.0,228640000.0,1168200000.0,238170000.0,9750000.0,4810000.0,223610000.0,223610000.0,930030000.0,-10000.0,251940000.0,251940000.0,8750000.0,595510000.0,52370000.0,72070000.0,471070000.0,2230700000.0,591000000.0,10000.0,6390000.0,12430000.0,0.0,,,,6700000.0,6700000.0,,565470000.0,-699150000.0,1264620000.0,20110000.0,35400000.0,805880000.0,241090000.0,162140000.0,0.0,1639690000.0,10000.0,265690000.0,606360000.0,120030000.0,221730000.0,264600000.0,0.0,709540000.0,0.0,709540000.0,58090000.0,1230000.0,56860000.0,56870000.0,2023-01-31,,,,,,
