Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
199379000.0,199379000.0,3103904000.0,4554595000.0,5961195000.0,10868796000.0,5063793000.0,5961195000.0,,6314201000.0,8557896000.0,6402179000.0,87978000.0,6314201000.0,4320411000.0,,,,1993790000.0,1993790000.0,11658627000.0,2597829000.0,1000.0,,43778000.0,2243695000.0,,2243695000.0,71456000.0,9060798000.0,350243000.0,,2310900000.0,,2310900000.0,,63223000.0,315752000.0,,45183000.0,270569000.0,18060806000.0,3936215000.0,25393000.0,,11201000.0,456060000.0,456060000.0,,,15851000.0,353006000.0,270506000.0,82500000.0,1036684000.0,,1036684000.0,,1036684000.0,,,,,14124591000.0,134317000.0,,,2788100000.0,,1874360000.0,,,9327814000.0,7877123000.0,1450691000.0,,,2024-03-31
199024000.0,199024000.0,3213271000.0,4042739000.0,5021149000.0,9402653000.0,4303067000.0,5021149000.0,,5359914000.0,6910011000.0,5411451000.0,51537000.0,5359914000.0,4364794000.0,,,,995120000.0,995120000.0,9643602000.0,1867172000.0,,,30162000.0,1550097000.0,,1550097000.0,55289000.0,7776430000.0,280479000.0,,2492642000.0,,2492642000.0,,188886000.0,286656000.0,,,286656000.0,15055053000.0,2975556000.0,25185000.0,,20355000.0,196526000.0,196526000.0,,,15851000.0,338765000.0,256265000.0,82500000.0,977639000.0,,977639000.0,0.0,977639000.0,,,,,12079497000.0,131631000.0,,,3462590000.0,,1533830000.0,,,6951446000.0,6121978000.0,829468000.0,,,2023-09-30
199024000.0,199024000.0,1183302000.0,2224376000.0,4605513000.0,6829562000.0,3607696000.0,4605513000.0,167780000.0,4772966000.0,5666921000.0,4820789000.0,47823000.0,4772966000.0,70403000.0,417022000.0,1815033000.0,1351133000.0,995120000.0,995120000.0,6263580000.0,1199653000.0,157354000.0,48637000.0,39710000.0,1051309000.0,157354000.0,893955000.0,48637000.0,5063927000.0,1501000.0,29345000.0,1173067000.0,10426000.0,1162641000.0,15172000.0,35322000.0,854168000.0,567014000.0,,287154000.0,11084369000.0,2412746000.0,73000.0,102052000.0,13306000.0,108050000.0,108050000.0,0.0,0.0,15851000.0,167453000.0,84953000.0,82500000.0,1129801000.0,-283979000.0,1413780000.0,1825000.0,178934000.0,350216000.0,449805000.0,433000000.0,0.0,8671623000.0,105439000.0,4303472000.0,78606000.0,1664013000.0,30418000.0,1155087000.0,-49371000.0,1204458000.0,1440027000.0,566733000.0,873294000.0,68000.0,873226000.0,2023-03-31
