Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
95914119.0,95914119.0,1393200000.0,1541300000.0,6383600000.0,11112300000.0,-1342600000.0,6383600000.0,,9571000000.0,9574200000.0,9614600000.0,43600000.0,9571000000.0,8611900000.0,,,959100000.0,959100000.0,11731600000.0,2903000000.0,691100000.0,22100000.0,2134800000.0,,3200000.0,,3200000.0,8828600000.0,1526900000.0,,1538100000.0,1538100000.0,21100000.0,5129500000.0,,229900000.0,4899600000.0,21346200000.0,13860200000.0,21700000.0,,,40600000.0,11700000.0,11700000.0,3187400000.0,3187400000.0,35800000.0,,35800000.0,,35800000.0,,,,7486000000.0,478000000.0,219700000.0,8800000.0,,291500000.0,,136800000.0,5979600000.0,371600000.0,223500000.0,148100000.0,,2023-09-30
95914119.0,95914119.0,966500000.0,1904600000.0,6543800000.0,12162300000.0,-1051300000.0,6543800000.0,20400000.0,10278100000.0,10282000000.0,10366800000.0,88700000.0,10278100000.0,77100000.0,2338000000.0,4231900000.0,959100000.0,959100000.0,12228800000.0,2902000000.0,741100000.0,32400000.0,2109700000.0,733100000.0,24300000.0,20400000.0,3900000.0,9326800000.0,1537600000.0,332200000.0,1880300000.0,1880300000.0,25800000.0,6320300000.0,664400000.0,769400000.0,4886500000.0,22595600000.0,14320100000.0,200000.0,113000000.0,21500000.0,40000000.0,14700000.0,14700000.0,3734300000.0,3734300000.0,258800000.0,-777800000.0,1036600000.0,0.0,372500000.0,178000000.0,486100000.0,0.0,8275500000.0,302000000.0,,8800000.0,122900000.0,85900000.0,85900000.0,6069400000.0,587800000.0,1098700000.0,181000000.0,917700000.0,917700000.0,2023-03-31
