Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,2013000.0,0.0,0.0,1738000.0,425000.0,5522000.0,2013000.0,1588000.0,-51000.0,51000.0,1738000.0,1738000.0,16200000.0,,,,,1738000.0,1738000.0,0.0,1738000.0,0.0,1738000.0,0.0,1738000.0,-201000.0,1537000.0,11955000.0,0.0,,-51000.0,51000.0,-10368000.0,10678000.0,12915000.0,425000.0,425000.0,310000.0,5522000.0,5832000.0,5832000.0,2024-03-31
0.0,0.182261,5569000.0,0.0,0.0,4195000.0,424000.0,5522000.0,5569000.0,5145000.0,-15000.0,15000.0,4195000.0,4195000.0,10650000.0,1410695055.0,1410695055.0,0.01,0.01,4195000.0,4195000.0,0.0,4195000.0,0.0,4195000.0,0.0,4195000.0,935000.0,5130000.0,9357000.0,0.0,,-15000.0,15000.0,-4212000.0,5128000.0,2234000.0,424000.0,424000.0,916000.0,5522000.0,6438000.0,6438000.0,2023-12-31
0.0,0.304839,3545000.0,0.0,0.0,2155000.0,425000.0,5896000.0,3545000.0,3120000.0,-20000.0,20000.0,2155000.0,2155000.0,11686000.0,1410695055.0,1410695055.0,0.01,0.01,2155000.0,2155000.0,0.0,2155000.0,0.0,2155000.0,0.0,2155000.0,945000.0,3100000.0,7699000.0,0.0,,-20000.0,20000.0,-4579000.0,5790000.0,2287000.0,425000.0,425000.0,1211000.0,5896000.0,7107000.0,7107000.0,2023-09-30
0.0,0.085731,2219000.0,0.0,0.0,1589000.0,424000.0,5752000.0,2219000.0,1795000.0,-57000.0,57000.0,1589000.0,1589000.0,9799000.0,1410695055.0,1410695055.0,0.01,0.01,1589000.0,1589000.0,0.0,1589000.0,0.0,1589000.0,0.0,1589000.0,149000.0,1738000.0,5203000.0,0.0,,-57000.0,57000.0,-3408000.0,4047000.0,2146000.0,424000.0,424000.0,639000.0,5752000.0,6391000.0,6391000.0,2023-06-30
-542854.06543,0.186346,-20295130.0,-2913150.0,-2913150.0,-19338300.0,348370.0,6625630.0,-23208280.0,-23556650.0,5921840.0,210580.0,-16968004.06543,-19338300.0,31437730.0,,,,,-19338300.0,-19338300.0,0.0,-19338300.0,0.0,-19338300.0,0.0,-19338300.0,-4428930.0,-23767230.0,-5051360.0,-2913150.0,879060.0,5921840.0,210580.0,-23050730.0,24812100.0,18981440.0,348370.0,348370.0,1761370.0,6625630.0,8387000.0,8387000.0,2023-03-31
,,,,,,,,,,,,,,,1410695055.0,1410695055.0,0.21,0.21,,,,,,,,,,,,,-24781000.0,,,,,,,,,,,,2022-12-31
0.0,0.252401,7775000.0,0.0,0.0,5450000.0,477000.0,4418000.0,7775000.0,7298000.0,-8000.0,8000.0,5450000.0,5450000.0,10517000.0,1410695055.0,1410695055.0,0.01,0.01,5450000.0,5450000.0,0.0,5450000.0,0.0,5450000.0,0.0,5450000.0,1840000.0,7290000.0,12907000.0,0.0,,-8000.0,8000.0,-5609000.0,6099000.0,2905000.0,477000.0,477000.0,490000.0,4418000.0,4908000.0,4908000.0,2024-06-30 00:00:00
