Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
161101300.0,161101300.0,10321000000.0,15832400000.0,-1941100000.0,13935200000.0,-7549500000.0,-1941100000.0,0.0,-1897200000.0,-1897200000.0,-1897200000.0,-1897200000.0,-3518600000.0,,,1621400000.0,1621400000.0,21972100000.0,1559600000.0,4000000.0,464700000.0,1090900000.0,0.0,0.0,0.0,20412500000.0,527900000.0,15832400000.0,0.0,15832400000.0,121600000.0,,2831400000.0,,2831400000.0,20074900000.0,7211800000.0,175300000.0,,4576600000.0,4576600000.0,13200000.0,43900000.0,43900000.0,2194300000.0,,2194300000.0,210200000.0,1984100000.0,,,,,12863000000.0,1729900000.0,,,,2062500000.0,,,,,5500000.0,,3213100000.0,,,5852000000.0,340600000.0,5511400000.0,,,2024-03-31
161101300.0,161101300.0,9351200000.0,14025400000.0,-2281400000.0,11743800000.0,-7833500000.0,-2281400000.0,200000.0,-2281400000.0,-2281400000.0,-2281400000.0,-2281400000.0,-3902800000.0,,,1621400000.0,1621400000.0,20200300000.0,1503900000.0,5200000.0,408000000.0,1090700000.0,,,,18696400000.0,487400000.0,14025400000.0,200000.0,14025200000.0,,121200000.0,2882400000.0,,2882400000.0,17918900000.0,7056000000.0,181600000.0,,4607300000.0,4607300000.0,13300000.0,,,2067600000.0,,2067600000.0,219400000.0,1848200000.0,,,,,10862900000.0,1483600000.0,,,,2639400000.0,,,,,4700000.0,,1865900000.0,,,4869300000.0,195300000.0,4674000000.0,,,2023-09-30
161101300.0,161101300.0,11249400000.0,14940900000.0,-2870700000.0,12070000000.0,-7399500000.0,-2870700000.0,200000.0,-2870700000.0,-2870700000.0,-2870700000.0,-2870700000.0,-4492100000.0,-7221100000.0,123900000.0,1621400000.0,1621400000.0,21438300000.0,1252100000.0,5200000.0,431600000.0,815300000.0,0.0,0.0,0.0,20186200000.0,569400000.0,14940900000.0,200000.0,14940700000.0,121200000.0,,3264900000.0,273300000.0,2991600000.0,18567600000.0,5780900000.0,167300000.0,349200000.0,3369900000.0,3369900000.0,13300000.0,,,2038300000.0,-1586000000.0,3624300000.0,134000000.0,42900000.0,3284500000.0,106700000.0,56200000.0,0.0,12786700000.0,1368600000.0,0.0,300200000.0,147600000.0,2319600000.0,58500000.0,149400000.0,794700000.0,1317000000.0,66200000.0,1225700000.0,5036100000.0,-43800000.0,5079900000.0,3691300000.0,366400000.0,3691300000.0,3691200000.0,100000.0,2023-03-31
