Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
1652336000.0,1652336000.0,206535000.0,344896000.0,4799328000.0,5326693000.0,1856590000.0,4799328000.0,4981797000.0,5158917000.0,4999232000.0,17435000.0,4981797000.0,3329461000.0,,,1652336000.0,1652336000.0,762673000.0,228375000.0,43999000.0,,,1565000.0,177120000.0,177120000.0,3792000.0,534298000.0,75930000.0,167776000.0,167776000.0,,252000.0,189120000.0,,41531000.0,147589000.0,5761905000.0,3371016000.0,703650000.0,,0.0,2076608000.0,2076608000.0,,72631000.0,182469000.0,78074000.0,104395000.0,303782000.0,,303782000.0,738000.0,303044000.0,,,,,2390888000.0,471312000.0,37817000.0,,92135000.0,,,,16552000.0,1459881000.0,,,313191000.0,174830000.0,138361000.0,,2024-03-31
1436933560.0,1436933560.0,203199000.0,255425000.0,3209630000.0,3777462000.0,1232376000.0,3209630000.0,3522037000.0,3681364000.0,3540995000.0,18958000.0,3522037000.0,2082936000.0,,,1439101000.0,1439101000.0,1026257000.0,211923000.0,44300000.0,,,4216000.0,159327000.0,159327000.0,4080000.0,814334000.0,143280000.0,96098000.0,96098000.0,,760000.0,395004000.0,,54317000.0,340687000.0,4567252000.0,2520542000.0,785263000.0,,9525000.0,975789000.0,975789000.0,,61854000.0,312407000.0,82777000.0,229630000.0,197194000.0,,197194000.0,,197194000.0,,,,,2046710000.0,233177000.0,37817000.0,,51129000.0,,,,320000.0,1598752000.0,,,125515000.0,73289000.0,52226000.0,,2023-09-30
1436933560.0,1436933560.0,207928000.0,304073000.0,3120965000.0,3616912000.0,1208243000.0,3120965000.0,3312839000.0,3408466000.0,3336065000.0,23226000.0,3312839000.0,-1000.0,49034000.0,1795606000.0,1439101000.0,1439101000.0,1210090000.0,148688000.0,1000.0,3048000.0,44000000.0,4216000.0,95627000.0,95627000.0,3048000.0,1061402000.0,2250.0,208446000.0,208446000.0,618000.0,618000.0,746984750.0,122342750.0,36615000.0,588027000.0,4546155000.0,2276510000.0,-1000.0,879583000.0,9538000.0,771436000.0,406334000.0,365102000.0,62106000.0,191874000.0,87479000.0,104395000.0,216253000.0,-56565000.0,272818000.0,,216253000.0,142114000.0,8077000.0,122627000.0,0.0,2269645000.0,206568000.0,126515000.0,150696000.0,125304000.0,105145000.0,0.0,20159000.0,59888000.0,1694111000.0,-60000.0,1694171000.0,113131000.0,16986000.0,96145000.0,96145000.0,2023-03-31
