Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date
0.0,0.249722,0.0,0.0,9707900000.0,24028800000.0,39363400000.0,63392200000.0,9707900000.0,9707900000.0,,,,,9707900000.0,9707900000.0,9707900000.0,-253800000.0,9961700000.0,0.0,9961700000.0,3236500000.0,12960400000.0,0.0,19932700000.0,10079400000.0,32127800000.0,32127800000.0,2024-03-31
0.0,0.251139,0.0,0.0,10354200000.0,23255200000.0,37596800000.0,60852000000.0,10354200000.0,10354200000.0,2453601896.0,2419205607.0,4.22,4.28,10354200000.0,10354200000.0,10354200000.0,-318500000.0,10672700000.0,0.0,10672700000.0,3565700000.0,14198100000.0,0.0,17002100000.0,9125900000.0,32338700000.0,32338700000.0,2023-12-31
0.0,0.255118,0.0,0.0,9941000000.0,22471400000.0,35441400000.0,57912800000.0,9941000000.0,9941000000.0,2317249417.0,2285287356.0,4.29,4.35,9941000000.0,9941000000.0,9941000000.0,-126000000.0,10067000000.0,0.0,10067000000.0,3425500000.0,13427100000.0,0.0,16037800000.0,8902900000.0,30040600000.0,30040600000.0,2023-09-30
0.0,0.258391,0.0,0.0,8801200000.0,20952600000.0,32545100000.0,53497700000.0,8801200000.0,8801200000.0,2141411192.0,2115673077.0,4.11,4.16,8801200000.0,8801200000.0,8801200000.0,-137800000.0,8939000000.0,0.0,8939000000.0,3107000000.0,12024400000.0,0.0,14694400000.0,7761800000.0,28365700000.0,28365700000.0,2023-06-30
0.0,0.259441,0.0,0.0,9539100000.0,20747200000.0,29375400000.0,50122600000.0,9539100000.0,9539100000.0,,,,,9539100000.0,9539100000.0,9539100000.0,-96400000.0,9635500000.0,0.0,9635500000.0,3291600000.0,12687300000.0,0.0,14491500000.0,7769000000.0,28431400000.0,28431400000.0,2023-03-31
,,,,,,,,,,2140228426.0,2113408521.0,3.94,3.99,,,,,,,,,,,,,,,2022-12-31
0.0,0.259424,0.0,0.0,10275100000.0,25160700000.0,42115300000.0,67276000000.0,10275100000.0,10275100000.0,2469975962.0,2440641330.0,4.16,4.21,10275100000.0,10275100000.0,10275100000.0,-199200000.0,10474300000.0,0.0,10474300000.0,3643200000.0,14043400000.0,0.0,18749000000.0,10303500000.0,34521200000.0,34521200000.0,2024-06-30 00:00:00
