Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Net Debt,Current Debt,Total Tax Payable
5768385.0,5768385.0,4084000.0,3738467000.0,3861706000.0,1435399000.0,3738467000.0,4084000.0,3861706000.0,3861706000.0,3861706000.0,3861706000.0,3804022000.0,,,57684000.0,57684000.0,641953000.0,54891000.0,,52756000.0,1333000.0,1333000.0,802000.0,587062000.0,276929000.0,2751000.0,2751000.0,29775000.0,271898000.0,,,271898000.0,4503659000.0,2481198000.0,2492000.0,,1743908000.0,,1743908000.0,,,,26409000.0,123239000.0,,585150000.0,,585150000.0,843000.0,584307000.0,,,,,2022461000.0,70855000.0,,,857857000.0,,,,,3853000.0,937775000.0,,,152121000.0,73285000.0,78836000.0,,2024-03-31,,,,
5768385.0,5768385.0,5125000.0,3536987000.0,3640093000.0,1317672000.0,3536987000.0,5125000.0,3640093000.0,3640093000.0,3640093000.0,3640093000.0,3582409000.0,,,57684000.0,57684000.0,377508000.0,50332000.0,,47177000.0,2182000.0,2182000.0,973000.0,327176000.0,111672000.0,2943000.0,2943000.0,26567000.0,180281000.0,,,180281000.0,4017601000.0,2372753000.0,,,1629335000.0,,1629335000.0,,,,27155000.0,103106000.0,,613157000.0,,613157000.0,11754000.0,601403000.0,,,,,1644848000.0,100008000.0,,,807747000.0,,,,,26090000.0,511747000.0,,,199256000.0,106247000.0,93009000.0,,2023-09-30,,,,
5768386.0,5768386.0,6371000.0,3391408000.0,3507313000.0,1115408000.0,3391408000.0,6371000.0,3507313000.0,3507313000.0,3507313000.0,3507313000.0,3449629000.0,1129610000.0,75383000.0,57684000.0,57684000.0,380443000.0,54529000.0,1368000.0,50809000.0,2352000.0,2352000.0,1368000.0,325914000.0,52911000.0,4019000.0,4019000.0,26656000.0,188325000.0,3536000.0,1530000.0,183259000.0,3887756000.0,2446434000.0,,16031000.0,1640581000.0,266809000.0,1680352000.0,1373772000.0,23740000.0,23740000.0,27903000.0,115905000.0,115905000.0,622274000.0,-562931000.0,1185205000.0,5227000.0,123335000.0,538857000.0,206461000.0,311325000.0,0.0,1441322000.0,73545000.0,1530000.0,73545000.0,787873000.0,133522000.0,131523000.0,522828000.0,8928000.0,14565000.0,528314000.0,-11965000.0,540279000.0,26567000.0,10458000.0,26567000.0,26567000.0,2023-03-31,,,,
5768385.0,5768385.0,7853000.0,3995313000.0,4116430000.0,1645803000.0,3995313000.0,2724000.0,4111301000.0,4111301000.0,4111301000.0,4111301000.0,4053617000.0,,,57684000.0,57684000.0,620400000.0,76619000.0,,75082000.0,1339000.0,1339000.0,198000.0,543781000.0,244033000.0,6514000.0,1385000.0,37501000.0,250153000.0,,,246997000.0,4731701000.0,2542117000.0,5244000.0,,1808387000.0,,1808387000.0,,,,25703000.0,115988000.0,,586795000.0,,586795000.0,12870000.0,573925000.0,,,,,2189584000.0,201898000.0,,,909039000.0,,,,,0.0,817599000.0,,,261048000.0,259342000.0,1706000.0,,2024-09-30 00:00:00,,3423000.0,5129000.0,3156000.0
