Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Hedging Assets Current,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
239144000.0,239144000.0,2030342000.0,3976610000.0,8111247000.0,11819945000.0,16733422000.0,8111247000.0,474369000.0,8317704000.0,11819945000.0,9115456000.0,797752000.0,8317704000.0,8078560000.0,,,239144000.0,239144000.0,11087459000.0,10611708000.0,185230000.0,,3976610000.0,474369000.0,3502241000.0,33188000.0,475751000.0,,,,475751000.0,,2726000.0,473025000.0,20202915000.0,2993742000.0,153283000.0,80909000.0,1601162000.0,1601162000.0,,,,,206457000.0,206457000.0,951931000.0,,951931000.0,705000.0,951226000.0,,,,,17209173000.0,,,5257667000.0,79026000.0,1142206000.0,,,10730274000.0,9258375000.0,1471899000.0,,,2024-03-31,
239095421.0,239095421.0,966357000.0,1872404000.0,7267852000.0,8928208000.0,13246096000.0,7267852000.0,382541000.0,7438345000.0,8928208000.0,8212344000.0,773999000.0,7438345000.0,7199250000.0,,,239095000.0,239095000.0,8026756000.0,7741924000.0,203228000.0,,1872404000.0,382541000.0,1489863000.0,32344000.0,284832000.0,,,,284832000.0,,1151000.0,283681000.0,16239100000.0,2708172000.0,206164000.0,79993000.0,1390533000.0,1390533000.0,,,,,170493000.0,170493000.0,860989000.0,,860989000.0,,860989000.0,,,,,13530928000.0,,,3900001000.0,50540000.0,1232997000.0,,,8347390000.0,7823884000.0,523506000.0,,,2023-09-30,
239092702.0,239092702.0,14262000.0,1142636000.0,7049295000.0,8002956000.0,567030000.0,7049295000.0,367474000.0,7227794000.0,7227794000.0,7975410000.0,747616000.0,7227794000.0,4939000.0,3975981000.0,2152416000.0,239093000.0,239093000.0,5237413000.0,304272000.0,161089000.0,28245000.0,268286000.0,268286000.0,775162000.0,1094000.0,4933141000.0,874350000.0,99188000.0,775162000.0,273885000.0,77128000.0,459000.0,196298000.0,13212823000.0,7712652000.0,17160000.0,74067000.0,155132000.0,151049000.0,4083000.0,106178000.0,90430000.0,15748000.0,178499000.0,178499000.0,858531000.0,-509321000.0,1367852000.0,,394727000.0,592927000.0,311773000.0,68425000.0,0.0,5500171000.0,0.0,118654000.0,2911438000.0,175262000.0,988410000.0,-89166000.0,1077576000.0,1306407000.0,545507000.0,760900000.0,0.0,760900000.0,2023-03-31,
265634614.0,265634614.0,3970562000.0,4983831000.0,8753722000.0,13478499000.0,18472069000.0,8753722000.0,469900000.0,8964568000.0,13478499000.0,9790383000.0,825815000.0,8964568000.0,8725424000.0,,,239144000.0,239144000.0,12229970000.0,11800870000.0,235631000.0,,4983831000.0,469900000.0,4513931000.0,45297000.0,429100000.0,,,,429100000.0,,2932000.0,426168000.0,22020353000.0,3119184000.0,222296000.0,89389000.0,1647718000.0,1647718000.0,,,,,210846000.0,210846000.0,948935000.0,,948935000.0,3471000.0,945464000.0,,,,,18901169000.0,,,7006269000.0,57790000.0,1245518000.0,,,10591592000.0,10048223000.0,543369000.0,,,2024-09-30 00:00:00,
