Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
50477241.0,50477241.0,,204676000.0,2385887000.0,2413487000.0,1956523000.0,2385887000.0,204676000.0,2413487000.0,2413487000.0,2413487000.0,,2413487000.0,2161100000.0,,,252387000.0,252387000.0,1547348000.0,147363000.0,,,114771000.0,114771000.0,0.0,32592000.0,1399985000.0,239372000.0,89905000.0,89905000.0,0.0,,29964000.0,917746000.0,,917746000.0,3960835000.0,604327000.0,,42579000.0,65188000.0,65188000.0,,0.0,27600000.0,,260973000.0,,260973000.0,260973000.0,,,,3356508000.0,243711000.0,,,,7500000.0,1330196000.0,,,1775101000.0,1283367000.0,491734000.0,,2024-03-31
50477241.0,50477241.0,425480000.0,763850000.0,476710000.0,1021200000.0,-28430000.0,476710000.0,253390000.0,510740000.0,511300000.0,510740000.0,0.0,510740000.0,-939590000.0,929420000.0,301210000.0,222290000.0,222290000.0,2011510000.0,179020000.0,-720000.0,720000.0,148590000.0,148030000.0,560000.0,30430000.0,1832490000.0,38920000.0,615260000.0,105360000.0,509900000.0,29820000.0,,1089080000.0,1460000.0,1087620000.0,2522250000.0,718190000.0,288100000.0,43010000.0,4050000.0,,4050000.0,0.0,34030000.0,34030000.0,315930000.0,-390480000.0,706410000.0,3630000.0,137400000.0,565380000.0,0.0,1804060000.0,47140000.0,0.0,61410000.0,130830000.0,285060000.0,1171420000.0,-19250000.0,1190670000.0,108200000.0,23220000.0,84980000.0,84980000.0,2023-09-30
