Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Gross PPE,Other Properties,Current Assets,Other Current Assets,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
,122482493.0,122482493.0,656620000.0,866270000.0,5173630000.0,6489840000.0,4916140000.0,5173630000.0,130250000.0,5753820000.0,5908550000.0,5753820000.0,5753820000.0,5631330000.0,122490000.0,122490000.0,1207540000.0,258700000.0,242300000.0,87570000.0,154730000.0,16400000.0,948840000.0,281770000.0,623970000.0,42680000.0,581290000.0,950000.0,21040000.0,1410000.0,19630000.0,6961360000.0,1096380000.0,27220000.0,27600000.0,305950000.0,305950000.0,580190000.0,580190000.0,144420000.0,144420000.0,144420000.0,5864980000.0,1286520000.0,3580000.0,1746210000.0,2828670000.0,2749270000.0,79400000.0,2024-03-31
0.0,122096758.0,122096758.0,422640000.0,802660000.0,5094740000.0,5984210000.0,5238470000.0,5094740000.0,130250000.0,5311800000.0,5594100000.0,5311800000.0,5311800000.0,5189700000.0,122100000.0,122100000.0,1211860000.0,398220000.0,383310000.0,101010000.0,282300000.0,14910000.0,813640000.0,293510000.0,419350000.0,29240000.0,390110000.0,280000.0,100500000.0,58850000.0,41650000.0,6523660000.0,471550000.0,35700000.0,22640000.0,51620000.0,51620000.0,217060000.0,217060000.0,144530000.0,144530000.0,144530000.0,6052110000.0,1117460000.0,700000.0,1211530000.0,3722420000.0,3472650000.0,249770000.0,2023-09-30
