Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,406882000.0,0.0,0.0,236640000.0,27763000.0,2175412000.0,406882000.0,379119000.0,-154791000.0,154791000.0,236640000.0,236640000.0,3108706000.0,,,,,236640000.0,236640000.0,0.0,236640000.0,236640000.0,236640000.0,-12314000.0,224328000.0,76062000.0,0.0,,,-154791000.0,154791000.0,303058000.0,933294000.0,27763000.0,27763000.0,241204000.0,241204000.0,1236352000.0,2175412000.0,3411764000.0,3411764000.0,2024-03-31
0.0,0.310161,244450000.0,0.0,0.0,69126000.0,26344000.0,2243437000.0,244450000.0,218106000.0,-117900000.0,117900000.0,69126000.0,69126000.0,3030875000.0,222987097.0,222987097.0,0.31,0.31,69126000.0,69126000.0,0.0,69126000.0,69126000.0,69126000.0,31080000.0,100206000.0,8943000.0,0.0,,,-117900000.0,117900000.0,209164000.0,787438000.0,26344000.0,26344000.0,177428000.0,177428000.0,996602000.0,2243437000.0,3240039000.0,3240039000.0,2023-12-31
0.0,0.292969,300749000.0,0.0,0.0,119945000.0,25222000.0,2185222000.0,300749000.0,275527000.0,-105881000.0,105881000.0,119945000.0,119945000.0,3000923000.0,226311321.0,226311321.0,0.53,0.53,119945000.0,119945000.0,0.0,119945000.0,119945000.0,119945000.0,49701000.0,169646000.0,10243000.0,0.0,,,-105881000.0,105881000.0,265282000.0,815701000.0,25222000.0,25222000.0,260156000.0,260156000.0,1080983000.0,2185222000.0,3266205000.0,3266205000.0,2023-09-30
0.0,0.281784,272650000.0,,,99577000.0,24259000.0,1701213000.0,272650000.0,248391000.0,-109746000.0,109746000.0,99577000.0,99577000.0,2305999000.0,226311364.0,226311364.0,0.44,0.44,99577000.0,99577000.0,0.0,99577000.0,99577000.0,99577000.0,39068000.0,138645000.0,27054000.0,,,,-109746000.0,109746000.0,221337000.0,604786000.0,24259000.0,24259000.0,150016000.0,150016000.0,826123000.0,1701213000.0,2527336000.0,2527336000.0,2023-06-30
-124026300.0,0.3,344300000.0,-413421000.0,-413421000.0,-319273000.0,22866000.0,1848314000.0,-69121000.0,-91987000.0,-134596000.0,134596000.0,-29878300.0,-319273000.0,2550420000.0,,,,,-319273000.0,-319273000.0,0.0,-319273000.0,-319272000.0,-319272000.0,92689000.0,-226583000.0,112639000.0,-413421000.0,413421000.0,,-134596000.0,134596000.0,208794000.0,702106000.0,22866000.0,22866000.0,190268000.0,190268000.0,910900000.0,1848314000.0,2759214000.0,2759214000.0,2023-03-31
,,,67080000.0,67080000.0,,,,,,,,,,,225893210.0,225893210.0,1.62,1.62,,,,,,,,,,67080000.0,-67080000.0,0.0,,,,,,,,,,,,,2022-12-31
16799808.977551,0.243106,341205000.0,69105000.0,69105000.0,202495000.0,28895000.0,2384684000.0,410310000.0,381415000.0,-113881000.0,113881000.0,150189808.977551,202495000.0,3214808000.0,224994444.0,224994444.0,0.9,0.9,202495000.0,202495000.0,0.0,202495000.0,202495000.0,202495000.0,65039000.0,267534000.0,24038000.0,69105000.0,,,-113881000.0,113881000.0,288272000.0,830124000.0,28895000.0,28895000.0,169635000.0,169635000.0,1118396000.0,2384684000.0,3503080000.0,3503080000.0,2024-06-30 00:00:00
