Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
95708993.0,95708993.0,818957000.0,1031424000.0,1907587000.0,2971036000.0,1843583000.0,1907587000.0,1939612000.0,2041140000.0,1939612000.0,1939612000.0,986582000.0,,953030000.0,953030000.0,1228618000.0,124607000.0,,0.0,101528000.0,101528000.0,23079000.0,1104011000.0,99823000.0,929896000.0,929896000.0,44055000.0,30237000.0,,0.0,30237000.0,3168230000.0,220636000.0,,,8760000.0,49978000.0,0.0,32025000.0,,32025000.0,98946000.0,,98946000.0,0.0,98946000.0,,,,,2947594000.0,,,0.0,1536233000.0,0.0,1198894000.0,212467000.0,212467000.0,,,2024-03-31
95374938.0,95374938.0,908829000.0,1139244000.0,1445886000.0,2619824000.0,1460332000.0,1445886000.0,1480580000.0,1599308000.0,1480580000.0,1480580000.0,752719000.0,,727861000.0,727861000.0,1311203000.0,144836000.0,,0.0,118728000.0,118728000.0,26108000.0,1166367000.0,67599000.0,1020516000.0,1020516000.0,53098000.0,25154000.0,,0.0,25154000.0,2791783000.0,165084000.0,,,2091000.0,,0.0,34694000.0,34694000.0,0.0,87739000.0,,87739000.0,0.0,87739000.0,,,,,2626699000.0,,,0.0,1304591000.0,0.0,1091693000.0,230415000.0,230415000.0,,,2023-09-30
54183949.0,54183949.0,1108732000.0,1190187000.0,1011245000.0,2238794000.0,986514000.0,1011245000.0,1048607000.0,1132742000.0,1048607000.0,1048607000.0,102000.0,546532000.0,501973000.0,501973000.0,1385436000.0,107360000.0,2000.0,,84135000.0,84135000.0,23223000.0,1278076000.0,143000.0,1106052000.0,1106052000.0,59201000.0,112680000.0,58433000.0,24993000.0,29254000.0,2434043000.0,169453000.0,-1000.0,21117000.0,3342000.0,,,37362000.0,37362000.0,37362000.0,99368000.0,-213976000.0,313344000.0,,839000.0,282398000.0,26786000.0,3321000.0,0.0,2264590000.0,1000.0,973681000.0,,2891000.0,53042000.0,1153520000.0,81455000.0,81455000.0,1664000.0,79791000.0,2023-03-31
