Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,240301887.0,240301887.0,80000000.0,26033400000.0,26090100000.0,17739700000.0,26033400000.0,80000000.0,26090100000.0,26090100000.0,27209300000.0,1119200000.0,26090100000.0,23687100000.0,,,2403000000.0,2403000000.0,29405100000.0,2035400000.0,35600000.0,,,63800000.0,63800000.0,,102000000.0,27369700000.0,1203400000.0,16200000.0,16200000.0,,,681400000.0,2189600000.0,,,2189600000.0,56614400000.0,11505000000.0,2185200000.0,,,266600000.0,946200000.0,,946200000.0,893300000.0,,56700000.0,56700000.0,7033000000.0,,7033000000.0,1737200000.0,5295800000.0,,,,,45109400000.0,715200000.0,,,,49300000.0,,,49500000.0,484300000.0,8998500000.0,,,34812600000.0,28204000000.0,6608600000.0,,,2024-03-31
0.0,240301887.0,240301887.0,47900000.0,25749500000.0,25815900000.0,18084300000.0,25749500000.0,47900000.0,25815900000.0,25815900000.0,26917900000.0,1102000000.0,25815900000.0,23412900000.0,,,2403000000.0,2403000000.0,30719400000.0,2223000000.0,47900000.0,,,43900000.0,43900000.0,,171800000.0,28496400000.0,396700000.0,4000000.0,4000000.0,,,788800000.0,2387500000.0,,,2387500000.0,57637300000.0,11056600000.0,1889000000.0,,,288400000.0,1171600000.0,,1171600000.0,864200000.0,,66400000.0,,6652100000.0,,6652100000.0,1303500000.0,5348600000.0,,,,,46580700000.0,471800000.0,,,,311200000.0,,,45700000.0,412800000.0,9197200000.0,,,36142000000.0,31157300000.0,4984700000.0,,,2023-09-30
,240301887.0,240301887.0,54200000.0,25995100000.0,26037800000.0,18781600000.0,25995100000.0,54200000.0,26037800000.0,26037800000.0,27191200000.0,1153400000.0,26037800000.0,23634800000.0,7394500000.0,97000000.0,2403000000.0,2403000000.0,32532100000.0,2993500000.0,4900000.0,23800000.0,2604800000.0,45200000.0,45200000.0,0.0,197500000.0,29538600000.0,526400000.0,9000000.0,9000000.0,0.0,114400000.0,780500000.0,3181500000.0,155300000.0,5100000.0,3021100000.0,59723300000.0,11403100000.0,1710200000.0,1708900000.0,38600000.0,311900000.0,1048500000.0,200000000.0,848500000.0,848100000.0,0.0,42700000.0,42700000.0,6487400000.0,-3560600000.0,10048000000.0,1005400000.0,5482000000.0,6732400000.0,1920500000.0,389700000.0,0.0,48320200000.0,816700000.0,2100000.0,23500000.0,442700000.0,309100000.0,298600000.0,10500000.0,2145700000.0,789900000.0,9895600000.0,-1268500000.0,11164100000.0,34711600000.0,24229900000.0,10481700000.0,4181400000.0,6300300000.0,2023-03-31
