Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,941830724.0,941830724.0,2057867000.0,2073155000.0,-30632009000.0,-23193715000.0,-34388426000.0,-30632009000.0,0.0,-25266870000.0,-24492370000.0,-27508835000.0,-2241965000.0,-25266870000.0,-27158634000.0,,,1891764000.0,1891764000.0,37875958000.0,1388492000.0,196502000.0,,,42084000.0,774500000.0,0.0,774500000.0,2129000.0,36487466000.0,247857000.0,1298655000.0,0.0,1298655000.0,216638000.0,1490616000.0,,1577000.0,1489039000.0,10367123000.0,8268083000.0,683196000.0,,0.0,,322024000.0,322024000.0,559306000.0,,,,5365139000.0,5355442000.0,9697000.0,197508000.0,,197508000.0,0.0,197508000.0,,,,,2099040000.0,90905000.0,,,611482000.0,,,,,368627000.0,,,1028026000.0,1012738000.0,15288000.0,,2024-03-31
,941830724.0,941830724.0,1938277000.0,2033366000.0,-30323450000.0,-22763125000.0,-36067599000.0,-30323450000.0,29268000.0,-24767223000.0,-24110223000.0,-26790232000.0,-2023009000.0,-24767223000.0,-26658987000.0,,,1891764000.0,1891764000.0,39975274000.0,1476249000.0,215971000.0,,,199495000.0,681739000.0,24739000.0,657000000.0,5767000.0,38499025000.0,254025000.0,1351627000.0,4529000.0,1347098000.0,216663000.0,1666698000.0,,4576000.0,1662122000.0,13185042000.0,10753616000.0,673763000.0,,0.0,,279718000.0,279718000.0,2591273000.0,,,,5556227000.0,5546530000.0,9697000.0,511725000.0,,511725000.0,0.0,511725000.0,,,,,2431426000.0,87490000.0,,,600316000.0,,,,,386449000.0,,,1357171000.0,1291350000.0,65821000.0,,2023-09-30
0.0,941830724.0,941830724.0,2598384000.0,2666387000.0,-29135988000.0,-20750658000.0,-34546730000.0,-29135988000.0,29500000.0,-23387545000.0,-22765545000.0,-25202799000.0,-1815254000.0,-23387545000.0,-25279309000.0,-30918651000.0,5636947000.0,1891764000.0,1891764000.0,38254323000.0,1454306000.0,41277000.0,3850000.0,200143000.0,183386000.0,646971000.0,24971000.0,622000000.0,5402000.0,36800017000.0,547000000.0,2019416000.0,4529000.0,2014887000.0,216427000.0,1806778000.0,172601000.0,43090000.0,1591087000.0,13051524000.0,10798237000.0,-1000.0,1566575000.0,0.0,-221601000.0,250503000.0,250503000.0,2649867000.0,-2762875000.0,465055000.0,2184812000.0,5748443000.0,5738746000.0,9697000.0,569855000.0,-2120524000.0,2690379000.0,0.0,13557000.0,1999901000.0,456886000.0,220035000.0,0.0,2253287000.0,52637000.0,348457000.0,75688000.0,600316000.0,-1970000.0,600316000.0,1970000.0,39259000.0,454844000.0,-1943000.0,456787000.0,734723000.0,696220000.0,38503000.0,38503000.0,2023-03-31
