Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Net PPE,Accumulated Depreciation,Gross PPE,Properties,Current Assets,Restricted Cash,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Land And Improvements,Cash Equivalents
26813830.0,26813830.0,132075000.0,132113000.0,-129126000.0,2987000.0,-9009000.0,-129126000.0,-129126000.0,2987000.0,-129126000.0,-129126000.0,,,268138000.0,268138000.0,141160000.0,132113000.0,,0.0,132113000.0,132113000.0,9047000.0,7680000.0,,0.0,0.0,,1367000.0,0.0,,,0.0,12034000.0,11996000.0,0.0,11996000.0,,,,38000.0,,0.0,0.0,38000.0,38000.0,,2024-03-31,,
26813830.0,26813830.0,128127000.0,128146000.0,-129017000.0,-871000.0,-12867000.0,-129017000.0,-129017000.0,-871000.0,-129017000.0,-129017000.0,,,268138000.0,268138000.0,141032000.0,128146000.0,,0.0,128146000.0,128146000.0,12886000.0,11521000.0,,0.0,0.0,,1365000.0,,,,,12015000.0,11996000.0,0.0,11996000.0,,,,19000.0,,0.0,0.0,19000.0,19000.0,,2023-09-30,,
26813830.0,26813830.0,127655354.0,127666297.0,-128612365.0,-946068.0,-12941846.0,-128612365.0,-128612365.0,-946068.0,-128612365.0,-128612365.0,-1779888618.0,431433100.0,268138300.0,268138300.0,140619086.0,127666297.0,1000.0,0.0,127666297.0,127666297.0,12952789.0,11585000.0,1367103.0,0.0,0.0,0.0,1367000.0,4085686.0,7165029.0,-4462182.0,1382839.0,12006721.0,11995778.0,0.0,11995778.0,0.0,11995778.0,11995778.0,10943.0,0.0,0.0,0.0,10943.0,10943.0,10943.0,2023-03-31,,
