Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Minority Interests
0.0,0.245699,3382940000.0,0.0,0.0,1900340000.0,379990000.0,12799730000.0,3382940000.0,3002950000.0,-483610000.0,483610000.0,1900340000.0,1900340000.0,14137020000.0,,,,,1900340000.0,1900340000.0,0.0,1900340000.0,1900340000.0,1900340000.0,619000000.0,2519340000.0,56010000.0,0.0,,-483610000.0,483610000.0,2945620000.0,1337290000.0,211480000.0,379990000.0,379990000.0,4282910000.0,12799730000.0,17082640000.0,17082640000.0,2024-03-31,
61489915.335771,0.345488,2322270000.0,177980000.0,177980000.0,1020450000.0,367150000.0,10337130000.0,2500250000.0,2133100000.0,-574000000.0,574000000.0,903959915.335771,1020450000.0,11729470000.0,65162835.0,65162835.0,15.66,15.66,1020450000.0,1020450000.0,0.0,1020450000.0,1020450000.0,1020450000.0,538650000.0,1559100000.0,38640000.0,177980000.0,-177980000.0,-574000000.0,574000000.0,1915800000.0,1392340000.0,246890000.0,367150000.0,367150000.0,3308140000.0,10337130000.0,13645270000.0,13645270000.0,2023-12-31,
0.0,0.255618,2233140000.0,,,961220000.0,354000000.0,6426160000.0,2233140000.0,1879140000.0,-587840000.0,587840000.0,961220000.0,961220000.0,7697200000.0,65167458.0,65167458.0,14.75,14.75,961220000.0,961220000.0,0.0,961220000.0,961220000.0,961220000.0,330080000.0,1291300000.0,31390000.0,,,-587840000.0,587840000.0,1848100000.0,1271040000.0,266990000.0,354000000.0,354000000.0,3119140000.0,6426160000.0,9545300000.0,9545300000.0,2023-09-30,
0.0,0.261026,2570000000.0,,,1709240000.0,261000000.0,11396860000.0,2570000000.0,2309000000.0,992030000.0,-3990000.0,1709240000.0,1709240000.0,12439770000.0,,,,,1709240000.0,1709240000.0,0.0,1709240000.0,1709240000.0,1709240000.0,603750000.0,2312990000.0,-43590000.0,,,992030000.0,-3990000.0,1358660000.0,1042910000.0,119070000.0,261000000.0,247320000.0,2401570000.0,11396860000.0,13798430000.0,13798430000.0,2023-03-31,
0.0,0.260589,2425340000.0,0.0,0.0,1308890000.0,260150000.0,8771720000.0,2425340000.0,2165190000.0,-395010000.0,395010000.0,1308890000.0,1308890000.0,9726840000.0,65151319.0,65151319.0,20.09,20.09,1308890000.0,1308890000.0,0.0,1308890000.0,1308890000.0,1308890000.0,461290000.0,1770180000.0,40110000.0,0.0,,-395010000.0,395010000.0,2122860000.0,955120000.0,146070000.0,260150000.0,260150000.0,3077980000.0,8771720000.0,11849700000.0,11849700000.0,2022-12-31,
0.0,0.276708,3162920000.0,0.0,0.0,1625700000.0,347810000.0,11172540000.0,3162920000.0,2815110000.0,-567540000.0,567540000.0,1625700000.0,1625700000.0,12505010000.0,65184443.0,65184443.0,24.94,24.94,1625700000.0,1625700000.0,0.0,1625700000.0,1625650000.0,1625650000.0,621920000.0,2247570000.0,37500000.0,0.0,,-567540000.0,567540000.0,2775380000.0,1332470000.0,195270000.0,347810000.0,347810000.0,4107850000.0,11172540000.0,15280390000.0,15280390000.0,2024-06-30 00:00:00,-50000.0
0.0,0.258979,2863060000.0,0.0,0.0,1503850000.0,310580000.0,9685200000.0,2863060000.0,2552480000.0,-523050000.0,523050000.0,1503850000.0,1503850000.0,11014930000.0,65158146.0,65158146.0,23.08,23.08,1503850000.0,1503850000.0,0.0,1503850000.0,1503850000.0,1503850000.0,525580000.0,2029430000.0,53840000.0,0.0,,-523050000.0,523050000.0,2496650000.0,1329730000.0,302610000.0,310580000.0,310580000.0,3826380000.0,9685200000.0,13511580000.0,13511580000.0,2023-06-30 00:00:00,0.0
