Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Net Income Extraordinary
-461192000.0,0.4,125130000.0,-1152980000.0,-1152980000.0,-1082386000.0,199000.0,2557000.0,-1027850000.0,-1028049000.0,5469000.0,-5469000.0,-390598000.0,-1682611000.0,72265000.0,,,,,-1682611000.0,-1682611000.0,0.0,-1682611000.0,-1682611000.0,-600225000.0,-1082386000.0,23000.0,-1022580000.0,185396000.0,-1152980000.0,5469000.0,-5469000.0,-60465000.0,69708000.0,68976000.0,199000.0,199000.0,9243000.0,2557000.0,11800000.0,11800000.0,2024-03-31,
0.0,0.3,-5861000.0,0.0,0.0,-62477000.0,204000.0,10300000.0,-5861000.0,-6065000.0,-52186000.0,52186000.0,-62477000.0,-762197000.0,14044000.0,239684591.0,239684591.0,-3.18,-3.18,-762197000.0,-762197000.0,0.0,-762197000.0,-762197000.0,-699720000.0,-62477000.0,125000.0,-58251000.0,6179000.0,0.0,-52186000.0,52186000.0,-12244000.0,3744000.0,3448000.0,204000.0,204000.0,-8500000.0,10300000.0,1800000.0,1800000.0,2023-12-31,
0.0,0.3,5589000.0,0.0,0.0,-47183000.0,204000.0,723000.0,5589000.0,5385000.0,-52185000.0,52185000.0,-47183000.0,-936256000.0,2521000.0,226696368.0,226696368.0,-4.13,-4.13,-936256000.0,-936256000.0,0.0,-936256000.0,-936256000.0,-889073000.0,-47183000.0,383000.0,-46800000.0,6106000.0,0.0,-52185000.0,52185000.0,-721000.0,1798000.0,1502000.0,204000.0,204000.0,1077000.0,723000.0,1800000.0,1800000.0,2023-09-30,
0.0,0.0,4955000.0,0.0,0.0,-47272000.0,199000.0,746000.0,4955000.0,4756000.0,-52028000.0,52028000.0,-47272000.0,-897351000.0,2798000.0,219938971.0,219938971.0,-4.08,-4.08,-897351000.0,-897351000.0,0.0,-897351000.0,-897351000.0,-850079000.0,-47272000.0,0.0,-47272000.0,5754000.0,0.0,-52028000.0,52028000.0,-998000.0,2052000.0,1761000.0,199000.0,199000.0,1054000.0,746000.0,1800000.0,1800000.0,2023-06-30,
0.0,0.0,1802523000.0,,,1750537000.0,115000.0,15475000.0,1802523000.0,1802408000.0,-51871000.0,51871000.0,1750537000.0,1196252000.0,19661000.0,,,,,1196252000.0,1196252000.0,0.0,1196252000.0,1196252000.0,-554285000.0,1750537000.0,0.0,1750537000.0,18518000.0,,-51871000.0,51871000.0,-4861000.0,4186000.0,3198000.0,115000.0,115000.0,-675000.0,15475000.0,14800000.0,14800000.0,2023-03-31,
,,,0.0,0.0,,,,,,,,,,,239478500.0,239478500.0,-4.0,-4.0,,,,,,,,,,,0.0,,,,,,,,,,,,2022-12-31,
0.0,0.3,16839000.0,0.0,0.0,-21319000.0,174000.0,3693000.0,16839000.0,16665000.0,-37733000.0,37733000.0,-21319000.0,-710460000.0,6044000.0,239402556.0,239402556.0,-3.13,-3.13,-749330000.0,-749330000.0,0.0,-749330000.0,-749330000.0,-689141000.0,-21319000.0,251000.0,-21068000.0,5909000.0,0.0,-37733000.0,37733000.0,10756000.0,2351000.0,2076000.0,174000.0,174000.0,13107000.0,3693000.0,16800000.0,16800000.0,2024-06-30 00:00:00,-38870000.0
