Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Other Special Charges
0.0,0.305444,17694500000.0,3635100000.0,4675100000.0,13828100000.0,17694500000.0,13019400000.0,-7499900000.0,7499900000.0,3635100000.0,3635100000.0,36088400000.0,,,,,3614400000.0,3614400000.0,0.0,3614400000.0,-198500000.0,3812900000.0,-20700000.0,3833600000.0,1685900000.0,5519500000.0,2039300000.0,-7499900000.0,7499900000.0,10980100000.0,22260300000.0,15790800000.0,4675100000.0,4675100000.0,33240400000.0,13828100000.0,47068500000.0,47068500000.0,2024-03-31,,,,
0.0,0.322899,17323300000.0,3251200000.0,4576400000.0,22050000000.0,17323300000.0,12746900000.0,-7600400000.0,7600400000.0,3251200000.0,3251200000.0,34930200000.0,1112671233.0,1112671233.0,2.92,2.92,3249000000.0,3249000000.0,0.0,3249000000.0,-233500000.0,3482500000.0,-2200000.0,3484700000.0,1661800000.0,5146500000.0,2049800000.0,-7600400000.0,7600400000.0,10697100000.0,12880200000.0,5709200000.0,4576400000.0,4576400000.0,23577300000.0,22050000000.0,45627300000.0,45627300000.0,2023-12-31,,,,
0.0,0.22954,14427300000.0,2767600000.0,4320500000.0,14408300000.0,14427300000.0,10106800000.0,-6408100000.0,6408100000.0,2767600000.0,2767600000.0,26013500000.0,1116923077.0,1116923077.0,2.47,2.47,2758800000.0,2758800000.0,0.0,2758800000.0,-82100000.0,2840900000.0,-8800000.0,2849700000.0,849000000.0,3698700000.0,-618400000.0,-6408100000.0,6408100000.0,10725200000.0,11605200000.0,4584700000.0,4320500000.0,4320500000.0,22330400000.0,14408300000.0,36738700000.0,36738700000.0,2023-09-30,,,,
0.0,0.3,13776400000.0,1750600000.0,4188800000.0,14597000000.0,13776400000.0,9587600000.0,-6156700000.0,6156700000.0,1750600000.0,1750600000.0,25090200000.0,1110891720.0,1110891720.0,1.57,1.57,1744100000.0,1744100000.0,6500000.0,1750600000.0,-69200000.0,1819800000.0,,1819800000.0,1604600000.0,3430900000.0,-1961300000.0,-6156700000.0,6156700000.0,11548900000.0,10493200000.0,3876400000.0,4188800000.0,4188800000.0,22042100000.0,14597000000.0,36639100000.0,36639100000.0,2023-06-30,,,,
0.0,0.33915,16639400000.0,3857600000.0,4155500000.0,12726100000.0,16639400000.0,12483900000.0,-1357200000.0,5887700000.0,3857600000.0,3857600000.0,22451100000.0,,,,,3696200000.0,3696200000.0,198300000.0,3894500000.0,-501500000.0,4396000000.0,36900000.0,4359100000.0,2237100000.0,6596200000.0,-428700000.0,-1357200000.0,5887700000.0,8149500000.0,9725000000.0,2726200000.0,4155500000.0,3868700000.0,17874500000.0,12726100000.0,30600600000.0,30600600000.0,2023-03-31,,,,
,,,,,,,,,,,,,1114366197.0,1114366197.0,4.26,4.26,,,,,,,-800000.0,,,,,,,,,,,,,,,,2022-12-31,,,,
-4518060000.0,0.3,17621000000.0,-8225300000.0,4978500000.0,18039400000.0,2560800000.0,-2417700000.0,-8109300000.0,8109300000.0,2316840000.0,-8225300000.0,36320700000.0,1114912043.0,1114912043.0,-7.39,-7.39,-8239200000.0,-8239200000.0,0.0,-8239200000.0,3667400000.0,-11906600000.0,-13900000.0,-11906600000.0,1365700000.0,-10527000000.0,-4822300000.0,-8109300000.0,8109300000.0,17464800000.0,18281300000.0,10541100000.0,4978500000.0,4978500000.0,35746100000.0,18039400000.0,53785500000.0,53785500000.0,2024-06-30 00:00:00,-15060200000.0,-15060200000.0,-15060200000.0,15060200000.0
