Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.269845,5263000.0,0.0,0.0,3063000.0,889000.0,5263000.0,4374000.0,-179000.0,179000.0,3063000.0,3063000.0,4788000.0,,,,,3063000.0,3063000.0,0.0,3063000.0,,3063000.0,3063000.0,1132000.0,4195000.0,2032000.0,0.0,-179000.0,179000.0,2332000.0,4788000.0,2436000.0,889000.0,889000.0,7120000.0,7120000.0,2024-03-31
0.0,0.3,1620000.0,0.0,0.0,-586000.0,916000.0,1620000.0,704000.0,-187000.0,187000.0,-586000.0,-586000.0,3841000.0,14650000.0,14650000.0,-0.04,-0.04,-586000.0,-586000.0,0.0,-586000.0,0.0,-586000.0,-586000.0,1103000.0,517000.0,-465000.0,0.0,-187000.0,187000.0,1169000.0,3841000.0,1605000.0,916000.0,916000.0,5010000.0,5010000.0,2023-12-31
0.0,0.04566,9982000.0,0.0,0.0,8465000.0,918000.0,9982000.0,9064000.0,-194000.0,194000.0,8465000.0,8465000.0,4740000.0,13023077.0,13023077.0,0.65,0.65,8465000.0,8465000.0,0.0,8465000.0,0.0,8465000.0,8465000.0,405000.0,8870000.0,8105000.0,0.0,-194000.0,194000.0,959000.0,4740000.0,1966000.0,918000.0,918000.0,5699000.0,5699000.0,2023-09-30
0.0,0.060972,11129000.0,0.0,0.0,9410000.0,911000.0,11129000.0,10218000.0,-197000.0,197000.0,9410000.0,9410000.0,4640000.0,13069444.0,13069444.0,0.72,0.72,9410000.0,9410000.0,0.0,9410000.0,0.0,9410000.0,9410000.0,611000.0,10021000.0,9907000.0,0.0,-197000.0,197000.0,311000.0,4640000.0,1777000.0,911000.0,911000.0,4951000.0,4951000.0,2023-06-30
4800.0,0.3,-5811000.0,16000.0,16000.0,-7974000.0,912000.0,-5795000.0,-6707000.0,4742000.0,171000.0,-7985200.0,-7974000.0,6178000.0,,,,,-7974000.0,-7974000.0,0.0,-7974000.0,,-7974000.0,-7974000.0,1096000.0,-6878000.0,-14782000.0,16000.0,4742000.0,171000.0,3146000.0,142000.0,-687000.0,912000.0,912000.0,9324000.0,9324000.0,2023-03-31
,,,,,,,,,,,,,,12953333.0,12953333.0,-0.15,-0.15,,,,,0.0,,,,,,,,,,,,,,,,2022-12-31
0.0,0.051202,8431000.0,0.0,0.0,6949000.0,904000.0,8431000.0,7527000.0,-203000.0,203000.0,6949000.0,6949000.0,4781000.0,13111321.0,13111321.0,0.53,0.53,6949000.0,6949000.0,0.0,6949000.0,,6949000.0,6949000.0,375000.0,7324000.0,7121000.0,0.0,-203000.0,203000.0,406000.0,4781000.0,2190000.0,904000.0,904000.0,5187000.0,5187000.0,2024-06-30 00:00:00
