Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Land And Improvements
,,4014300000.0,4866000000.0,17718200000.0,23806000000.0,11436800000.0,17718200000.0,316800000.0,19256800000.0,21327800000.0,20205500000.0,948700000.0,19256800000.0,18816300000.0,,,,440500000.0,440500000.0,11176900000.0,3045400000.0,19700000.0,,,,,373300000.0,2331900000.0,260900000.0,2071000000.0,320500000.0,8131500000.0,663500000.0,2534100000.0,55900000.0,2478200000.0,,152300000.0,3643700000.0,,,83900000.0,3559800000.0,31382400000.0,11814100000.0,464600000.0,,25700000.0,,1669600000.0,1669600000.0,,1538600000.0,1072400000.0,466200000.0,8115600000.0,,8115600000.0,315400000.0,7800200000.0,,,,19568300000.0,729800000.0,,,,3910500000.0,,,,,,0.0,4760500000.0,,,10167500000.0,9632600000.0,534900000.0,,,2024-03-31,
44049824.0,44049824.0,2764300000.0,3331600000.0,16365700000.0,20338300000.0,9793500000.0,16365700000.0,334400000.0,17341100000.0,18548300000.0,17470400000.0,129300000.0,17341100000.0,16900600000.0,,,,440500000.0,440500000.0,9013000000.0,2090900000.0,5700000.0,,,,,291500000.0,1480800000.0,273600000.0,1207200000.0,312900000.0,6922100000.0,803700000.0,1850800000.0,60800000.0,1790000000.0,,149600000.0,3854200000.0,,,144500000.0,3709700000.0,26483400000.0,9767800000.0,364300000.0,,25800000.0,,2047100000.0,2047100000.0,,975400000.0,563600000.0,411800000.0,6355200000.0,,6355200000.0,34900000.0,6320300000.0,,,,16715600000.0,435600000.0,,,,3668600000.0,,,,,,1400000.0,4316300000.0,,,8293700000.0,8060800000.0,232900000.0,,,2023-09-30,
44049824.0,44049824.0,2683510000.0,3331540000.0,14346950000.0,18263220000.0,9049410000.0,14346950000.0,342880000.0,15274560000.0,16734740000.0,15415280000.0,140720000.0,15274560000.0,15054400000.0,97270000.0,1300000000.0,3500000.0,220250000.0,220250000.0,8335840000.0,2343700000.0,5210000.0,0.0,287220000.0,90830000.0,0.0,220870000.0,1736620000.0,276440000.0,1460180000.0,287200000.0,5992140000.0,179930000.0,1594920000.0,66440000.0,1528480000.0,137610000.0,137600000.0,3879950000.0,386870000.0,530000.0,36960000.0,3455590000.0,23751120000.0,8709570000.0,182410000.0,206470000.0,22340000.0,19900000.0,769520000.0,721520000.0,48000000.0,927610000.0,596860000.0,330750000.0,6515090000.0,-6901870000.0,13416960000.0,110800000.0,1414690000.0,10190770000.0,1700700000.0,0.0,15041550000.0,77620000.0,5480000.0,321430000.0,235810000.0,3388840000.0,37660000.0,1329340000.0,1000670000.0,1021170000.0,145240000.0,78770000.0,3965900000.0,-32210000.0,3998110000.0,6822460000.0,6517310000.0,305150000.0,0.0,305150000.0,2023-03-31,
