Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,-120408000.0,0.0,0.0,-120116000.0,-1000.0,1739000.0,-120408000.0,-120408000.0,-120116000.0,-120116000.0,124030000.0,,,,,-120116000.0,-120116000.0,0.0,-120116000.0,-120116000.0,-120116000.0,519000.0,-119596000.0,811000.0,0.0,-120408000.0,122291000.0,121691000.0,-1000.0,-1000.0,1883000.0,1739000.0,3622000.0,3622000.0,2024-03-31
0.0,0.130159,-748000.0,0.0,0.0,274000.0,6000.0,1381000.0,-748000.0,-754000.0,274000.0,274000.0,2961000.0,137000000.0,137000000.0,0.002,0.002,274000.0,274000.0,0.0,274000.0,274000.0,274000.0,41000.0,315000.0,1069000.0,0.0,-754000.0,1580000.0,1048000.0,6000.0,6000.0,826000.0,1381000.0,2207000.0,2207000.0,2023-12-31
0.0,0.078271,-355000.0,0.0,0.0,789000.0,7000.0,1723000.0,-355000.0,-362000.0,789000.0,789000.0,3113000.0,131500000.0,131500000.0,0.006,0.006,789000.0,789000.0,0.0,789000.0,789000.0,789000.0,67000.0,856000.0,1218000.0,0.0,-362000.0,1390000.0,892000.0,7000.0,7000.0,1028000.0,1723000.0,2751000.0,2751000.0,2023-09-30
0.0,0.248169,1568000.0,0.0,0.0,1847000.0,6000.0,1722000.0,1568000.0,1562000.0,1847000.0,1847000.0,3126000.0,134143160.0,134143160.0,0.01,0.01,1847000.0,1847000.0,0.0,1847000.0,1848000.0,1848000.0,610000.0,2458000.0,896000.0,0.0,1562000.0,1404000.0,880000.0,6000.0,6000.0,2966000.0,1722000.0,4688000.0,4688000.0,2023-06-30
59652.944866,0.107289,-63998000.0,556000.0,556000.0,-62633000.0,5000.0,2546000.0,-63442000.0,-63447000.0,-63129347.055134,-62633000.0,70134000.0,,,,,-62633000.0,-62633000.0,0.0,-62633000.0,-62633000.0,-62633000.0,-7527000.0,-70156000.0,-4080000.0,0.0,-66067000.0,67588000.0,63823000.0,5000.0,3000.0,1521000.0,2546000.0,4067000.0,4067000.0,2023-03-31
,,,,,,,,,,,,,134143160.0,134143160.0,-0.004532,-0.004532,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.291718,-382000.0,,,572000.0,4000.0,3231000.0,-382000.0,-386000.0,572000.0,572000.0,4480000.0,143000000.0,143000000.0,0.004,0.004,572000.0,572000.0,0.0,572000.0,572000.0,572000.0,236000.0,809000.0,1195000.0,,-386000.0,1249000.0,828000.0,4000.0,4000.0,863000.0,3231000.0,4094000.0,4094000.0,2024-06-30 00:00:00
