Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Receivables,Taxes Receivable,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
,738679544.0,738679544.0,440692700000.0,484934200000.0,197642500000.0,682853200000.0,197642500000.0,197919000000.0,682853200000.0,197919000000.0,197919000000.0,196788700000.0,,,1130300000.0,1130300000.0,532745000000.0,318500000.0,484934200000.0,62100000.0,,,31900000.0,30200000.0,730664000000.0,122790900000.0,122790900000.0,122298900000.0,,328200000.0,276500000.0,276500000.0,0.0,2649800000.0,,2649800000.0,,2649800000.0,,,,,154700000.0,9918400000.0,44241500000.0,,,2024-03-31,
0.0,537625269.0,537625269.0,419123200000.0,484205100000.0,183452700000.0,668488000000.0,183452700000.0,184282900000.0,668488000000.0,184282900000.0,184282900000.0,183340600000.0,,,942300000.0,942300000.0,544796900000.0,276400000.0,484205100000.0,189300000.0,,,137300000.0,52000000.0,729079800000.0,97058800000.0,97058800000.0,96604700000.0,,331100000.0,830200000.0,251900000.0,578300000.0,3396800000.0,,3396800000.0,,913700000.0,,2483100000.0,,,196200000.0,15719200000.0,65081900000.0,,,2023-09-30,
,502943367.0,502943367.0,467386600000.0,524034700000.0,172753000000.0,694591300000.0,172753000000.0,173612500000.0,694591300000.0,173612500000.0,173612500000.0,1756800000.0,16760300000.0,79166300000.0,897200000.0,897200000.0,575839900000.0,148200000.0,524034700000.0,30513700000.0,30306400000.0,33900000.0,138100000.0,35300000.0,749452400000.0,55365500000.0,55365500000.0,3028900000.0,50673400000.0,,859500000.0,281200000.0,578300000.0,3578200000.0,-2029000000.0,5607200000.0,112200000.0,869300000.0,1202700000.0,3418800000.0,4200000.0,5730100000.0,28997000000.0,14217200000.0,53592200000.0,4134400000.0,48500000.0,2023-03-31,
