Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Gross PPE,Other Properties,Current Assets,Other Current Assets,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
0.0,18576000.0,18576000.0,23600000.0,349592000.0,373192000.0,334804000.0,349592000.0,349592000.0,373192000.0,349592000.0,349592000.0,163832000.0,185760000.0,185760000.0,250029000.0,31018000.0,-46000.0,0.0,23600000.0,23600000.0,7464000.0,219011000.0,7900000.0,28338000.0,182773000.0,50266000.0,132507000.0,599621000.0,45805000.0,3373000.0,1756000.0,1756000.0,40676000.0,40676000.0,40676000.0,553815000.0,13183000.0,48465000.0,224376000.0,267791000.0,176706000.0,91085000.0,2024-03-31
,18576000.0,18576000.0,,253416000.0,253416000.0,241859000.0,253416000.0,253416000.0,253416000.0,253416000.0,253416000.0,67656000.0,185760000.0,185760000.0,82646000.0,6967000.0,,0.0,,,6967000.0,75679000.0,1660000.0,34306000.0,39713000.0,38481000.0,1232000.0,336062000.0,18524000.0,1584000.0,1486000.0,1486000.0,15454000.0,15454000.0,15454000.0,317538000.0,13108000.0,38056000.0,121403000.0,144971000.0,128219000.0,16752000.0,2023-09-30
,18576000.0,18576000.0,,193658000.0,193658000.0,179282000.0,193658000.0,193658000.0,193658000.0,193658000.0,193658000.0,90458000.0,103200000.0,103200000.0,61806000.0,6067000.0,,0.0,,,6067000.0,55739000.0,5515000.0,18553000.0,31671000.0,18352000.0,13319000.0,255464000.0,20442000.0,1540000.0,1219000.0,1219000.0,17683000.0,17683000.0,17683000.0,235021000.0,9358000.0,19657000.0,35959000.0,170047000.0,56642000.0,113405000.0,2023-03-31
