Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,12707200.0,12707200.0,8733732000.0,8754033000.0,9022461000.0,17772444000.0,5302743000.0,9022461000.0,5843000.0,9024254000.0,12968608000.0,9024254000.0,9024254000.0,8895574000.0,,,128680000.0,128680000.0,10607472000.0,4360549000.0,,259700000.0,3948949000.0,4595000.0,3944354000.0,151900000.0,6246923000.0,52531000.0,,4805084000.0,1248000.0,4803836000.0,,9674000.0,950051000.0,,76789000.0,873262000.0,19631726000.0,8082060000.0,7767000.0,,195186000.0,195186000.0,1793000.0,1793000.0,7856634000.0,,7856634000.0,0.0,7856634000.0,,,,,11549666000.0,1343036000.0,,,,6450471000.0,,,,,3560632000.0,,,195527000.0,181069000.0,14458000.0,,,2024-03-31
,12707200.0,12707200.0,5822349000.0,5854085000.0,8654322000.0,14502914000.0,4811969000.0,8654322000.0,7542000.0,8656371000.0,12859209000.0,8656371000.0,8656371000.0,8527691000.0,,,128680000.0,128680000.0,7598436000.0,4592073000.0,,246300000.0,4209241000.0,6403000.0,4202838000.0,136532000.0,3006363000.0,122050000.0,,1644844000.0,1139000.0,1643705000.0,,6159000.0,660430000.0,,124778000.0,535652000.0,16254807000.0,8436475000.0,43132000.0,,193154000.0,193154000.0,2049000.0,2049000.0,8179929000.0,,8179929000.0,180843000.0,7999086000.0,,,,,7818332000.0,1251216000.0,,,,2998072000.0,,,,,3539567000.0,,,29477000.0,5283000.0,24194000.0,,,2023-09-30
580000.0,13287200.0,13867200.0,4619122000.0,4741877000.0,8994822000.0,13731810000.0,4867844000.0,8994822000.0,7199000.0,8997132000.0,12423788000.0,8997132000.0,8997132000.0,773304000.0,8031199000.0,57849000.0,134480000.0,134480000.0,6750816000.0,3769476000.0,122503000.0,214500000.0,3432473000.0,5817000.0,3426656000.0,,2981340000.0,27375000.0,92291000.0,1309404000.0,1382000.0,1308022000.0,6159000.0,6159000.0,1462374000.0,429462000.0,92291000.0,1032912000.0,15747948000.0,7898764000.0,66296000.0,233063000.0,178983000.0,178983000.0,2310000.0,2310000.0,7633541000.0,-3701370000.0,11334911000.0,66207000.0,7567334000.0,7975379000.0,3066979000.0,226346000.0,0.0,7849184000.0,1108633000.0,0.0,560690000.0,912148000.0,3719782000.0,323861000.0,234211000.0,3161710000.0,204108000.0,2336900000.0,-7227000.0,2344127000.0,115556000.0,568313000.0,115556000.0,112032000.0,3524000.0,2023-03-31
