Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
133951.0,133951.0,,0.0,14200000.0,14380000.0,-177850000.0,14200000.0,14380000.0,14380000.0,14380000.0,14380000.0,-63720000.0,,,78100000.0,78100000.0,233250000.0,5040000.0,,0.0,0.0,0.0,228210000.0,210850000.0,,,10150000.0,0.0,,,0.0,247630000.0,197270000.0,-40000000.0,,0.0,3900000.0,3900000.0,0.0,180000.0,180000.0,0.0,233190000.0,,233190000.0,14790000.0,218400000.0,,,,,50360000.0,32750000.0,,,290000.0,,,,0.0,12770000.0,,,4550000.0,4550000.0,,2024-03-31
133951.0,133951.0,,0.0,-16860000.0,-16630000.0,-268740000.0,-16860000.0,-16630000.0,-16630000.0,-16630000.0,-16630000.0,-94730000.0,,,78100000.0,78100000.0,318180000.0,980000.0,,0.0,0.0,0.0,317200000.0,10150000.0,0.0,0.0,,18510000.0,,0.0,18510000.0,301550000.0,253090000.0,,,0.0,4000000.0,4000000.0,,230000.0,230000.0,0.0,248860000.0,,248860000.0,15200000.0,233660000.0,,,,,48460000.0,32690000.0,,,290000.0,,,,0.0,11490000.0,,,3990000.0,3990000.0,,2023-09-30
133951.0,133951.0,284830000.0,288990000.0,-11770000.0,277500000.0,-267720000.0,-11770000.0,-11490000.0,-11490000.0,-11490000.0,-11490000.0,,-223880000.0,0.0,78100000.0,78100000.0,304980000.0,100000.0,0.0,,,,304880000.0,,288990000.0,288990000.0,,4000000.0,-2030000.0,0.0,6030000.0,293490000.0,256330000.0,1960000.0,4000000.0,,0.0,,,280000.0,280000.0,,250090000.0,-85660000.0,335750000.0,15200000.0,2870000.0,164000000.0,90540000.0,63140000.0,0.0,37160000.0,,0.0,32690000.0,290000.0,250000.0,0.0,40000.0,0.0,20000.0,-76800000.0,76820000.0,4160000.0,4160000.0,4160000.0,2023-03-31
