Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-1748833356.497568,0.307158,62903500000.0,-5693600000.0,-5693600000.0,13698200000.0,13292200000.0,203617300000.0,57209900000.0,43917700000.0,-4633000000.0,4633000000.0,17642966643.502434,13698200000.0,332871600000.0,,,,,13698200000.0,13698200000.0,0.0,13698200000.0,-13519900000.0,27218100000.0,,27218100000.0,12066600000.0,39284700000.0,4272300000.0,-5693600000.0,-4633000000.0,4633000000.0,44399700000.0,129254300000.0,46334300000.0,13292200000.0,13292200000.0,49062700000.0,49062700000.0,173654000000.0,203617300000.0,377271300000.0,377271300000.0,2024-03-31
0.0,0.250108,51488100000.0,0.0,0.0,15144400000.0,12444300000.0,168312700000.0,51488100000.0,39043800000.0,-4326400000.0,4326400000.0,15144400000.0,15144400000.0,283168000000.0,659636327.0,658778914.0,22.958711,22.988593,15144400000.0,15144400000.0,0.0,15144400000.0,-10889900000.0,26034300000.0,,26034300000.0,8683100000.0,34717400000.0,2564900000.0,0.0,-4326400000.0,4326400000.0,36486800000.0,114855300000.0,43200700000.0,12444300000.0,12444300000.0,38568200000.0,38568200000.0,151342100000.0,168312700000.0,319654800000.0,319654800000.0,2023-12-31
0.0,0.292716,45046700000.0,0.0,0.0,11637500000.0,12451500000.0,162044800000.0,45046700000.0,32595200000.0,-3978000000.0,3978000000.0,11637500000.0,11637500000.0,272410200000.0,659727451.0,658983258.0,17.63986,17.659781,11637500000.0,11637500000.0,0.0,11637500000.0,-8603000000.0,20240500000.0,,20240500000.0,8376700000.0,28617200000.0,2845900000.0,0.0,-3978000000.0,3978000000.0,29796600000.0,110365400000.0,40679000000.0,12451500000.0,12451500000.0,37402300000.0,37402300000.0,140162000000.0,162044800000.0,302206800000.0,302206800000.0,2023-09-30
0.0,0.250597,49813800000.0,0.0,0.0,15764700000.0,11825300000.0,165118200000.0,49813800000.0,37988500000.0,-3609800000.0,3609800000.0,15764700000.0,15764700000.0,275624000000.0,659749219.0,659199657.0,23.894988,23.914909,15764700000.0,15764700000.0,0.0,15764700000.0,-9998800000.0,25763500000.0,,25763500000.0,8615200000.0,34378700000.0,2957900000.0,0.0,-3609800000.0,3609800000.0,35027900000.0,110505800000.0,36888400000.0,11825300000.0,11825300000.0,43200100000.0,43200100000.0,145533700000.0,165118200000.0,310651900000.0,310651900000.0,2023-06-30
746974076.362433,0.310205,46288400000.0,2408000000.0,2408000000.0,13689200000.0,11847600000.0,222823600000.0,48696400000.0,36848800000.0,1038900000.0,2698500000.0,12028174076.362432,13689200000.0,292628400000.0,,,,,13689200000.0,13689200000.0,0.0,13689200000.0,-9867500000.0,23556700000.0,0.0,23556700000.0,10593600000.0,34150300000.0,-32449300000.0,-225800000.0,1038900000.0,2698500000.0,34678800000.0,69804800000.0,-40326800000.0,11847600000.0,5513200000.0,84402400000.0,81488100000.0,104483600000.0,222823600000.0,327307200000.0,327307200000.0,2023-03-31
,,,,,,,,,,,,,,,659990403.0,658957285.0,38.118433,38.178195,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2022-12-31
77361088.244287,0.238034,47919700000.0,325000000.0,325000000.0,12079300000.0,13677300000.0,182899000000.0,48244700000.0,34567400000.0,-4805700000.0,4805700000.0,11831661088.244287,12079300000.0,307686000000.0,666260342.0,661879452.0,18.13,18.25,12079300000.0,12079300000.0,0.0,12079300000.0,-10598100000.0,22677400000.0,,22677400000.0,7084300000.0,29761700000.0,3000200000.0,325000000.0,-4805700000.0,4805700000.0,30921500000.0,124787000000.0,45505300000.0,13677300000.0,13677300000.0,44494000000.0,44494000000.0,155708500000.0,182899000000.0,338607500000.0,338607500000.0,2024-06-30 00:00:00
