Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
30704082.0,30704082.0,5077570000.0,6721567000.0,-364386000.0,6286698000.0,-7520441000.0,-364386000.0,91735000.0,-343134000.0,-173846000.0,-440590000.0,-97456000.0,-343134000.0,-650174000.0,,,307040000.0,307040000.0,12275960000.0,351672000.0,,,,241622000.0,72334000.0,169288000.0,110050000.0,11924288000.0,2511173000.0,6479945000.0,19401000.0,6460544000.0,,2927000.0,1666139000.0,,1666139000.0,11835370000.0,7431523000.0,2030305000.0,,1851089000.0,56473000.0,56473000.0,,21252000.0,21252000.0,3435254000.0,,3435254000.0,3435254000.0,,,,,4403847000.0,575915000.0,,,907916000.0,,,,32963000.0,11380000.0,1054943000.0,,,1820730000.0,268468000.0,1552262000.0,,,2024-03-31
26882806.0,26882806.0,7033358000.0,7129526000.0,-1325157000.0,5789017000.0,-6518782000.0,-1325157000.0,81096000.0,-1259413000.0,-1259413000.0,-1353882000.0,-94469000.0,-1259413000.0,-1528241000.0,,,268828000.0,268828000.0,10312192000.0,145377000.0,,,0.0,66444000.0,66444000.0,0.0,78933000.0,10166815000.0,379912000.0,7063082000.0,14652000.0,7048430000.0,,20848000.0,1646207000.0,,1646207000.0,8958310000.0,5310277000.0,329000.0,,1504867000.0,109169000.0,109169000.0,,65744000.0,,3615236000.0,,3615236000.0,3615236000.0,,,,,3648033000.0,720287000.0,,,963086000.0,,,,37409000.0,26172000.0,1664287000.0,,,236792000.0,221720000.0,15072000.0,,,2023-09-30
26882806.0,26882806.0,6420520000.0,6525890000.0,-711990000.0,5835310000.0,-5732110000.0,-711990000.0,87790000.0,-602790000.0,-602790000.0,-693970000.0,-91180000.0,-602790000.0,47520000.0,-3131450000.0,2098070000.0,268830000.0,268830000.0,9621960000.0,137380000.0,-2000.0,62280000.0,,75100000.0,75100000.0,0.0,62283000.0,9484580000.0,265261000.0,6450790000.0,12690000.0,6438100000.0,8840000.0,2091000.0,2931370000.0,1036990000.0,1894380000.0,8927990000.0,5175520000.0,130000.0,71740000.0,1129670000.0,29540000.0,29530000.0,10000.0,109200000.0,109200000.0,3835240000.0,-4080710000.0,7915950000.0,194080000.0,6169320000.0,1369320000.0,183230000.0,0.0,3752470000.0,728811000.0,105580000.0,873410000.0,921570000.0,406650000.0,286960000.0,227960000.0,84490000.0,17700000.0,1732140000.0,-453820000.0,2185960000.0,17580000.0,259510000.0,17580000.0,0.0,17580000.0,2023-03-31
