Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
1247283.964554,0.262034,4760000.0,4760000.0,366087000.0,9220000.0,751867000.0,859636000.0,1611503000.0,362574283.964554,366087000.0,,,,,366087000.0,366087000.0,366087000.0,0.0,366087000.0,0.0,366087000.0,129989000.0,496076000.0,4760000.0,2879000.0,449122000.0,309693000.0,9220000.0,9220000.0,1093281000.0,1093281000.0,2024-03-31
0.0,0.257052,0.0,0.0,564645000.0,8623000.0,1037175000.0,641843000.0,1679018000.0,564645000.0,564645000.0,896261905.0,896261905.0,0.63,0.63,564645000.0,564645000.0,564645000.0,0.0,564645000.0,0.0,564645000.0,195361000.0,760006000.0,0.0,1155000.0,309102000.0,158613000.0,8623000.0,8623000.0,1184038000.0,1184038000.0,2023-12-31
0.0,0.252514,0.0,0.0,474916000.0,8613000.0,774184000.0,602280000.0,1376464000.0,474916000.0,474916000.0,896067925.0,896067925.0,0.53,0.53,474916000.0,474916000.0,474916000.0,0.0,474916000.0,0.0,474916000.0,160435000.0,635351000.0,0.0,1952000.0,302141000.0,176741000.0,8613000.0,8613000.0,844545000.0,844545000.0,2023-09-30
0.0,0.261964,0.0,0.0,384082000.0,7543000.0,625831000.0,596970000.0,1222801000.0,384082000.0,384082000.0,893213953.0,893213953.0,0.43,0.43,384082000.0,384082000.0,384082000.0,0.0,384082000.0,0.0,384082000.0,136329000.0,520411000.0,0.0,3571000.0,301497000.0,192539000.0,7543000.0,7543000.0,764868000.0,764868000.0,2023-06-30
-13902185.209114,0.258424,-53796000.0,-53796000.0,206606000.0,1416000.0,563416000.0,592167000.0,1155583000.0,246499814.790886,206606000.0,,,,,206606000.0,206606000.0,206606000.0,0.0,206606000.0,0.0,206606000.0,71998000.0,278604000.0,-53796000.0,,247239000.0,-247388000.0,1416000.0,1416000.0,584031000.0,584031000.0,2023-03-31
,,,,,,,,,,,899754839.0,899754839.0,0.31,0.31,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.256501,0.0,0.0,414892000.0,9589000.0,820116000.0,830806000.0,1650922000.0,414892000.0,414892000.0,901939130.0,901939130.0,0.46,0.46,414892000.0,414892000.0,414892000.0,0.0,414892000.0,0.0,414892000.0,143134000.0,558026000.0,0.0,14009000.0,360624000.0,223371000.0,9589000.0,9589000.0,1034732000.0,1034732000.0,2024-06-30 00:00:00
