Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Investmentsin Subsidiariesat Cost,Cash Cash Equivalents And Federal Funds Sold
7081373639.0,7081373639.0,,77188600000.0,198706200000.0,275894800000.0,198706200000.0,198706200000.0,275894800000.0,198706200000.0,0.0,198706200000.0,,,,70813700000.0,70813700000.0,2874584000000.0,77188600000.0,,,3073290200000.0,684646500000.0,684646500000.0,,,,22096100000.0,,,,,,,,303117000000.0,,211613400000.0,2024-03-31,,
7081373639.0,7081373639.0,,73214800000.0,196321400000.0,269536200000.0,196321400000.0,196321400000.0,269536200000.0,196321400000.0,0.0,196321400000.0,,,,70813700000.0,70813700000.0,2599640600000.0,73214800000.0,,,2795962000000.0,669216800000.0,669216800000.0,,,,21442800000.0,,,,,,,,187361900000.0,,135123500000.0,2023-12-31,,
7081373639.0,7081373639.0,,86537400000.0,185937300000.0,272474700000.0,185937300000.0,185937300000.0,272474700000.0,185937300000.0,0.0,185937300000.0,,,,70813700000.0,70813700000.0,2547671800000.0,86537400000.0,,,2733609100000.0,703543800000.0,703543800000.0,,,,21449500000.0,,,,,,,,147636200000.0,,142207300000.0,2023-09-30,,
7081373639.0,7081373639.0,,66177700000.0,176739000000.0,242916700000.0,176739000000.0,176739000000.0,242916700000.0,176739000000.0,0.0,176739000000.0,,,,70813700000.0,70813700000.0,2572563400000.0,66177700000.0,,,2749302400000.0,722106600000.0,722106600000.0,,,,21433000000.0,,,,,,,,217385700000.0,,211723900000.0,2023-06-30,,
6730496447.0,6730496447.0,,109618828000.0,157902335000.0,267521163000.0,157902335000.0,157902335000.0,267521163000.0,157902335000.0,0.0,157902335000.0,14728282000.0,16574170000.0,3283128000.0,67304964000.0,67304964000.0,2520369353000.0,109618828000.0,4072919000.0,4072919000.0,2678271688000.0,688173681000.0,685349868000.0,657311000.0,2823813000.0,2823813000.0,21567396000.0,-13966209000.0,35533605000.0,75058000.0,16081066000.0,19377481000.0,18384133000.0,21872010000.0,187536143000.0,0.0,10949172000.0,2023-03-31,,
,,3759700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31,,
7081373639.0,7081373639.0,,104818900000.0,228902900000.0,333721800000.0,228902900000.0,228902900000.0,333721800000.0,228902900000.0,0.0,228902900000.0,,,,70813700000.0,70813700000.0,2942831000000.0,104818900000.0,,,3171733900000.0,780135400000.0,780135400000.0,,,,23786000000.0,,,,,,,,165957500000.0,,165741400000.0,2024-09-30 00:00:00,,165957500000.0
