Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
0.0,7069923853.0,7069923853.0,384545800000.0,509357400000.0,321339200000.0,832093200000.0,321339200000.0,322735800000.0,832093200000.0,322735800000.0,0.0,322735800000.0,589300000.0,,,70699200000.0,70699200000.0,2639362000000.0,509357400000.0,,,,2962097800000.0,745001200000.0,745001200000.0,,,1396600000.0,1396600000.0,26745600000.0,,,,,,,,124811600000.0,,109884600000.0,2024-03-31,
,6722452365.0,6722452365.0,401157200000.0,531655200000.0,276240100000.0,809291900000.0,276240100000.0,277636700000.0,809291900000.0,277636700000.0,0.0,277636700000.0,523000000.0,,,67224500000.0,67224500000.0,2369566300000.0,531655200000.0,,,,2647203000000.0,629223600000.0,629223600000.0,,,1396600000.0,1396600000.0,25164200000.0,,,,,,,,130498000000.0,,109453300000.0,2023-09-30,
,6618121816.0,6618121816.0,434334120000.0,572120920000.0,257078812000.0,830596429000.0,257078812000.0,258475509000.0,830596429000.0,258475509000.0,0.0,258475509000.0,371152000.0,-24294196000.0,173125074000.0,66181218000.0,66181218000.0,2140345002000.0,572120920000.0,26974047000.0,11944379000.0,15029668000.0,2398820511000.0,609132751000.0,609132751000.0,18949436000.0,0.0,1396697000.0,1396697000.0,21330619000.0,-20444202000.0,41774821000.0,2185750000.0,36715910000.0,2873161000.0,4404802000.0,45359609000.0,137786800000.0,10700925000.0,6538747000.0,2023-03-31,
,7081121439.0,7081121439.0,348941400000.0,518735600000.0,333779800000.0,853912000000.0,333779800000.0,335176400000.0,853912000000.0,335176400000.0,0.0,335176400000.0,755800000.0,,,70811200000.0,70811200000.0,2733949400000.0,518735600000.0,,,,3069125800000.0,734139300000.0,734139300000.0,,,1396600000.0,1396600000.0,27846500000.0,,,,,,,,169794200000.0,,116957300000.0,2024-06-30 00:00:00,
