Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,104616204.0,104616204.0,,97376000.0,15263258000.0,15328753000.0,7540757000.0,15263258000.0,35078000.0,15266455000.0,15266455000.0,15266455000.0,15266455000.0,15161839000.0,,,104616000.0,104616000.0,1740630000.0,319076000.0,,280645000.0,18870000.0,18870000.0,0.0,19561000.0,1421554000.0,62675000.0,78506000.0,16208000.0,62298000.0,,39019000.0,999291000.0,,54938000.0,944353000.0,17007085000.0,8044774000.0,79799000.0,,49695000.0,49695000.0,,20586000.0,,3197000.0,,7864785000.0,,7864785000.0,2114824000.0,5749961000.0,,,,,8962311000.0,284933000.0,,,,2079538000.0,,,,,3496089000.0,,,3101751000.0,2950330000.0,151421000.0,,2024-03-31
0.0,104616204.0,104616204.0,126518000.0,229667000.0,13537683000.0,13730385000.0,5882004000.0,13537683000.0,42369000.0,13543087000.0,13543087000.0,13543087000.0,13543087000.0,13438471000.0,,,104616000.0,104616000.0,1967168000.0,292699000.0,,246930000.0,26715000.0,26715000.0,0.0,19054000.0,1674469000.0,74400000.0,202952000.0,15654000.0,187298000.0,,29088000.0,761157000.0,,0.0,761157000.0,15510255000.0,7953782000.0,19249000.0,,88976000.0,88976000.0,,,,5404000.0,,7775962000.0,,7775962000.0,1877252000.0,5898710000.0,,,,,7556473000.0,171827000.0,,,,2198571000.0,,,,,2670436000.0,,,2515639000.0,2454859000.0,60780000.0,,2023-09-30
,104616204.0,104616204.0,277370000.0,315470000.0,12898010000.0,13212370000.0,5358560000.0,12898010000.0,3110000.0,12900010000.0,12962370000.0,12900010000.0,12900010000.0,,11683500000.0,819710000.0,104620000.0,104620000.0,2239830000.0,321370000.0,22970000.0,234400000.0,64000000.0,1640000.0,62360000.0,,1918460000.0,,251470000.0,1470000.0,250000000.0,274760000.0,,1362550000.0,334560000.0,89990000.0,938000000.0,15139840000.0,7862820000.0,,169120000.0,1250000.0,,1250000.0,0.0,0.0,2000000.0,2000000.0,7654790000.0,-1873060000.0,9527850000.0,1726970000.0,493800000.0,4294520000.0,2465450000.0,547110000.0,0.0,7277020000.0,7120000.0,2500000.0,93680000.0,211950000.0,2123150000.0,148020000.0,1131980000.0,843150000.0,383560000.0,2737580000.0,-8730000.0,2746310000.0,1717480000.0,1682490000.0,34990000.0,34990000.0,2023-03-31
