Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
12633900.0,12633900.0,139478000.0,146716000.0,512257000.0,655339000.0,347259000.0,512257000.0,3634000.0,512257000.0,555873000.0,512257000.0,512257000.0,385918000.0,,,126339000.0,126339000.0,562440000.0,49549000.0,1000.0,,46688000.0,3072000.0,43616000.0,2860000.0,512891000.0,57046000.0,100028000.0,562000.0,99466000.0,,2990000.0,346774000.0,,17384000.0,329390000.0,1074697000.0,214547000.0,,4114000.0,197635000.0,,197635000.0,12798000.0,,12798000.0,5825000.0,6973000.0,,860150000.0,136078000.0,,,408026000.0,,,,306673000.0,9373000.0,5769000.0,3604000.0,,,2024-03-31
12443900.0,12443900.0,317900000.0,329800000.0,473800000.0,799700000.0,247800000.0,473800000.0,3900000.0,473800000.0,516800000.0,473800000.0,473800000.0,347500000.0,,,126300000.0,126300000.0,592300000.0,46400000.0,,,46400000.0,3400000.0,43000000.0,,545900000.0,28000000.0,283400000.0,500000.0,282900000.0,,6100000.0,221900000.0,,14900000.0,207000000.0,1066100000.0,272500000.0,100000.0,1200000.0,258400000.0,,258400000.0,12800000.0,,12800000.0,5300000.0,7500000.0,,793700000.0,83300000.0,,,356300000.0,,,,321500000.0,32600000.0,24600000.0,8000000.0,,,2023-09-30
12633900.0,12633900.0,312300000.0,318800000.0,453400000.0,768100000.0,294300000.0,453400000.0,4100000.0,453400000.0,495900000.0,453400000.0,453400000.0,7100000.0,241700000.0,79300000.0,126300000.0,126300000.0,614000000.0,48900000.0,,2800000.0,46100000.0,3600000.0,42500000.0,2828000.0,565100000.0,9400000.0,272700000.0,500000.0,272200000.0,2200000.0,500000.0,252100000.0,6500000.0,14900000.0,230700000.0,1067400000.0,207800000.0,,1600000.0,192400000.0,400000.0,192000000.0,13800000.0,-30300000.0,44100000.0,5300000.0,3000000.0,35800000.0,859400000.0,500000.0,700000.0,69300000.0,346400000.0,346400000.0,4900000.0,10500000.0,384200000.0,42900000.0,40500000.0,2400000.0,0.0,2400000.0,2023-03-31
