Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Total Revenue,Operating Revenue,Date,Write Off,Net Policyholder Benefits And Claims
0.0,0.258275,,,1736600000.0,1736600000.0,1736600000.0,222981500000.0,,,,,1736600000.0,1736600000.0,1736600000.0,1736600000.0,,1736600000.0,604700000.0,2341300000.0,0.0,,,755100000.0,2093600000.0,2093600000.0,225322800000.0,225322800000.0,2024-03-31,,
0.0,0.018894,,,2269200000.0,2269200000.0,2269200000.0,261982600000.0,1445350318.0,1436202532.0,1.57,1.58,2269200000.0,2269200000.0,2269200000.0,2269200000.0,,2269200000.0,43700000.0,2312900000.0,0.0,,,1345100000.0,1615100000.0,1615100000.0,264295500000.0,264295500000.0,2023-12-31,,
0.0,0.015303,0.0,0.0,2438800000.0,2438800000.0,2438800000.0,171376000000.0,1443076923.0,1443076923.0,1.69,1.69,2438800000.0,2438800000.0,2438800000.0,2438800000.0,,2438800000.0,37900000.0,2476700000.0,0.0,0.0,0.0,1094400000.0,3200000000.0,3200000000.0,173852700000.0,173852700000.0,2023-09-30,,
0.0,0.005978,,,2061900000.0,2061900000.0,2061900000.0,231402900000.0,1441888112.0,1441888112.0,1.43,1.43,2061900000.0,2061900000.0,2061900000.0,2061900000.0,0.0,2061900000.0,12400000.0,2074300000.0,0.0,,,-381700000.0,3799500000.0,3799500000.0,233477200000.0,233477200000.0,2023-06-30,,
0.0,0.25837,,,2352600000.0,2352600000.0,2352600000.0,106291400000.0,1443312883.0,1434512195.0,1.63,1.64,2352600000.0,2352600000.0,2352600000.0,2352600000.0,,2352600000.0,819600000.0,3172200000.0,0.0,,,2411400000.0,7411500000.0,7411500000.0,109463600000.0,109463600000.0,2023-03-31,,
,,0.0,0.0,,,,,1438701299.0,1438701299.0,1.54,1.54,,,,,,,,,,0.0,0.0,,,,,,2022-12-31,,
0.0,0.133387,,,2243400000.0,2243400000.0,2243400000.0,251372000000.0,1447354839.0,1438076923.0,1.55,1.56,2243400000.0,2243400000.0,2243400000.0,2243400000.0,0.0,2243400000.0,345300000.0,2588700000.0,0.0,,,1403100000.0,1977300000.0,1977300000.0,253960700000.0,253960700000.0,2024-06-30 00:00:00,,
