Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,140000000.0,952846000.0,859108000.0,1046532000.0,379335000.0,859108000.0,806079000.0,899765000.0,899765000.0,899765000.0,899765000.0,641292000.0,,,258473000.0,258473000.0,1383520000.0,646675000.0,1000.0,,631642000.0,631642000.0,0.0,15032000.0,736845000.0,16174000.0,321204000.0,174437000.0,146767000.0,63410000.0,336057000.0,,336057000.0,2283285000.0,1167105000.0,-1000.0,,44029000.0,46995000.0,,,,40657000.0,40657000.0,1034323000.0,,1034323000.0,47977000.0,986346000.0,,,,,1116180000.0,130030000.0,,537661000.0,,,,,166003000.0,272439000.0,10047000.0,3280000.0,6767000.0,,2024-03-31
,,,504448000.0,979687000.0,1020880000.0,563103000.0,979687000.0,504448000.0,1020880000.0,1020880000.0,1020880000.0,1020880000.0,762407000.0,,,258473000.0,258473000.0,819124000.0,517272000.0,1000.0,,504448000.0,504448000.0,0.0,12823000.0,301852000.0,77808000.0,0.0,0.0,0.0,54152000.0,169892000.0,,169892000.0,1840004000.0,975049000.0,,,14338000.0,241748000.0,,,,41193000.0,41193000.0,676668000.0,,676668000.0,42045000.0,634623000.0,,,,,864955000.0,67693000.0,,357042000.0,,,,,99516000.0,322562000.0,18142000.0,15718000.0,2424000.0,,2023-09-30
25160327.0,25160327.0,,451218000.0,760627000.0,803567000.0,436527000.0,760627000.0,451218000.0,803567000.0,803567000.0,803567000.0,803567000.0,551964000.0,94434000.0,457530000.0,251603000.0,251603000.0,777553000.0,372395000.0,,9764000.0,362631000.0,362631000.0,0.0,9764000.0,405158000.0,5282000.0,88587000.0,88587000.0,0.0,37356000.0,273933000.0,9334000.0,264599000.0,1581120000.0,739436000.0,-1000.0,1102000.0,11197000.0,75160000.0,75160000.0,178000.0,178000.0,42940000.0,42940000.0,608860000.0,-127850000.0,736710000.0,30970000.0,3835000.0,215684000.0,476562000.0,9659000.0,0.0,841685000.0,1000.0,43639000.0,417881000.0,4103000.0,397847000.0,3757000.0,12174000.0,90725000.0,278289000.0,11150000.0,10231000.0,919000.0,919000.0,2023-03-31
