Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,,13399200000.0,18102300000.0,13754700000.0,31513300000.0,2123700000.0,13754700000.0,346400000.0,13757400000.0,13757400000.0,13757400000.0,13757400000.0,7286700000.0,,6470700000.0,6470700000.0,44394100000.0,2038300000.0,97400000.0,,316300000.0,316300000.0,0.0,1621700000.0,42355800000.0,684200000.0,17786000000.0,30100000.0,17755900000.0,,245300000.0,4838500000.0,,4838500000.0,58151500000.0,13672000000.0,324600000.0,,1026700000.0,1422400000.0,1422400000.0,0.0,,600000.0,2700000.0,2700000.0,10488500000.0,,10488500000.0,2220500000.0,8268000000.0,,,,,44479500000.0,2192400000.0,,,11431600000.0,,,,,,16100000.0,1581400000.0,,,29258000000.0,24901300000.0,4356700000.0,,,2024-03-31
,,15321800000.0,18181700000.0,14111900000.0,31961500000.0,4659000000.0,14111900000.0,334500000.0,14114300000.0,14165300000.0,14114300000.0,14114300000.0,7643600000.0,,6470700000.0,6470700000.0,43809900000.0,2137700000.0,103600000.0,,357800000.0,306800000.0,51000000.0,1673300000.0,41672200000.0,1058700000.0,17823900000.0,27700000.0,17796200000.0,,350600000.0,4019600000.0,,4019600000.0,57924200000.0,11593000000.0,151800000.0,,,1567100000.0,1567100000.0,0.0,,600000.0,2400000.0,2400000.0,9464600000.0,,9464600000.0,1423500000.0,8041100000.0,,,,,46331200000.0,2748500000.0,,,8680600000.0,,,,,,29200000.0,5028500000.0,,,29844400000.0,27319000000.0,2525400000.0,,,2023-09-30
647071974.0,647071974.0,17595074000.0,18417107000.0,12734401000.0,30829826000.0,2962370000.0,12734401000.0,326250000.0,12738969000.0,12789969000.0,12738969000.0,12738969000.0,6268248000.0,5170940000.0,6470720000.0,6470720000.0,41604099000.0,2365905000.0,112896000.0,1872541000.0,349582000.0,298582000.0,51000000.0,1900353000.0,39238194000.0,18208000.0,18067525000.0,27668000.0,18039857000.0,293165000.0,341989000.0,18809127000.0,15028890000.0,3780237000.0,54343068000.0,12142505000.0,151809000.0,91904000.0,,1128623000.0,1128623000.0,0.0,0.0,577000.0,4568000.0,4568000.0,9330431000.0,-1594647000.0,10925078000.0,1197749000.0,478147000.0,4088723000.0,204553000.0,4955906000.0,0.0,42200564000.0,3124000.0,22698930000.0,68986000.0,9781218000.0,-599583000.0,6452736000.0,540685000.0,3387380000.0,4344145000.0,18285000.0,4788748000.0,-238122000.0,5026870000.0,497128000.0,1345000.0,495783000.0,493308000.0,2475000.0,2023-03-31
