Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
48210605.0,48210605.0,911373000.0,992285000.0,4696392000.0,5904735000.0,2354987000.0,4696392000.0,4912450000.0,5078477000.0,4912450000.0,4912450000.0,4430344000.0,,,482106000.0,482106000.0,2520012000.0,334713000.0,,90008000.0,78678000.0,166027000.0,166027000.0,,2185299000.0,24485000.0,,826258000.0,826258000.0,14406000.0,,1132707000.0,,,1846000.0,1130861000.0,7432462000.0,2892176000.0,61017000.0,,,48162000.0,,48162000.0,216058000.0,216000000.0,58000.0,2566939000.0,,2566939000.0,776524000.0,1790415000.0,,,,,4540286000.0,866164000.0,,,,1384863000.0,,,,10128000.0,4367000.0,2123256000.0,,,151508000.0,70596000.0,80912000.0,,,2024-03-31
48210605.0,48210605.0,915505000.0,931679000.0,4240394000.0,5345937000.0,2052786000.0,4240394000.0,4414258000.0,4589095000.0,4414258000.0,4414258000.0,3932152000.0,,,482106000.0,482106000.0,2368314000.0,343835000.0,,91960000.0,77038000.0,174837000.0,174837000.0,,2024479000.0,46918000.0,,756842000.0,756842000.0,,12319000.0,1035372000.0,,,15684000.0,1019688000.0,6782572000.0,2705307000.0,92405000.0,,,47092000.0,,47092000.0,173864000.0,173806000.0,58000.0,2391946000.0,,2391946000.0,634165000.0,1757781000.0,,,,,4077265000.0,921734000.0,,,,1362491000.0,,,,8322000.0,4303000.0,1702372000.0,,,78043000.0,61869000.0,16174000.0,,,2023-09-30
48210605.0,48210605.0,678415000.0,752381000.0,4231560000.0,5144838000.0,2220961000.0,4231560000.0,4392457000.0,4571377000.0,4392457000.0,4392457000.0,3910341000.0,1217421000.0,2437912000.0,482106000.0,482106000.0,2104532000.0,334822000.0,-1000.0,85114000.0,70789000.0,178920000.0,178920000.0,85114000.0,1769710000.0,10410000.0,0.0,573461000.0,573461000.0,12319000.0,9837000.0,1140027000.0,263146000.0,3075000.0,0.0,873806000.0,6496989000.0,2506318000.0,11181000.0,50767000.0,0.0,566000.0,40000.0,526000.0,160897000.0,160839000.0,58000.0,2272316000.0,-666220000.0,2938536000.0,644079000.0,408000.0,1793205000.0,456383000.0,44461000.0,0.0,3990671000.0,21560000.0,0.0,51831000.0,903642000.0,1306136000.0,136155000.0,435008000.0,734973000.0,7934000.0,17786000.0,1625602000.0,-5969000.0,1631571000.0,73966000.0,52542000.0,73966000.0,1153000.0,72813000.0,2023-03-31
