Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
0.0,218897968.0,218897968.0,13345500000.0,14239300000.0,28981700000.0,43118600000.0,12951100000.0,28981700000.0,129700000.0,29009000000.0,31496900000.0,29009000000.0,29009000000.0,28790100000.0,,,218900000.0,218900000.0,22174100000.0,4230700000.0,300800000.0,,,,1212300000.0,2563600000.0,75700000.0,2487900000.0,154000000.0,17943400000.0,1269700000.0,,11675700000.0,54000000.0,11621700000.0,452200000.0,3688300000.0,,,122900000.0,3565400000.0,51183100000.0,20288600000.0,474800000.0,,3800000.0,,749700000.0,749700000.0,,26800000.0,,121400000.0,27300000.0,20500000.0,6800000.0,17273800000.0,,17273800000.0,2257000000.0,15016800000.0,,,,,30894500000.0,2304500000.0,,,,24199300000.0,,,,,5300000.0,,3447000000.0,,,938400000.0,174300000.0,764100000.0,,2024-03-31
,218897968.0,218897968.0,1367900000.0,4004600000.0,26885000000.0,30765200000.0,12545400000.0,26885000000.0,152100000.0,26912700000.0,29337000000.0,26912700000.0,26912700000.0,26693800000.0,,,218900000.0,218900000.0,10153900000.0,4210000000.0,326500000.0,,,,1119600000.0,2517300000.0,93000000.0,2424300000.0,246600000.0,5943900000.0,1733100000.0,,1487300000.0,59100000.0,1428200000.0,467600000.0,1452700000.0,,,10000000.0,1442700000.0,37066600000.0,18577300000.0,957300000.0,,4000000.0,,276800000.0,276800000.0,,23000000.0,,121400000.0,27700000.0,20900000.0,6800000.0,15506200000.0,,15506200000.0,1171200000.0,14335000000.0,,,,,18489300000.0,2636200000.0,,,,8800500000.0,,,,,3500000.0,,3231800000.0,,,3817300000.0,1332700000.0,2484600000.0,,2023-09-30
0.0,218897968.0,218897968.0,8392839000.0,9292599000.0,26620679000.0,35765461000.0,13523072000.0,26620679000.0,179628000.0,26652490000.0,28876467000.0,26652490000.0,26652490000.0,26433600000.0,25952360000.0,78787000.0,218900000.0,218900000.0,17891861000.0,3995273000.0,339400000.0,221865000.0,324539000.0,14899000.0,1087219000.0,2346751000.0,122774000.0,2223977000.0,221900000.0,13896588000.0,430344000.0,10023000.0,6945848000.0,56854000.0,6888994000.0,442913000.0,4920865000.0,771618000.0,2450000.0,10000000.0,4146797000.0,44544351000.0,17124691000.0,14698000.0,137227000.0,3606000.0,0.0,61886000.0,11977000.0,49909000.0,0.0,0.0,121014000.0,31811000.0,24988000.0,6823000.0,14827159000.0,-5284465000.0,20111624000.0,283119000.0,14544100000.0,15775624000.0,3299186000.0,753695000.0,0.0,27419660000.0,26494000.0,0.0,92285000.0,313411000.0,19964950000.0,10811000.0,17985515000.0,471623000.0,1497001000.0,1269849000.0,448550000.0,4507756000.0,-18573000.0,4526329000.0,796365000.0,76233000.0,720132000.0,720132000.0,2023-03-31
