Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,362005547.850208,0.113731,9157000000.0,3183000000.0,3183000000.0,5112000000.0,4957000000.0,8617000000.0,12340000000.0,7383000000.0,-1615000000.0,1615000000.0,2291005547.850208,5112000000.0,15305000000.0,500195695.0,500195695.0,10.22,10.22,5112000000.0,5112000000.0,0.0,5112000000.0,5112000000.0,5112000000.0,656000000.0,5768000000.0,399000000.0,3183000000.0,-3183000000.0,-1615000000.0,1615000000.0,3801000000.0,6688000000.0,398000000.0,4957000000.0,4957000000.0,1036000000.0,1036000000.0,10489000000.0,8617000000.0,19106000000.0,19106000000.0
2023-09-30,-798000000.0,0.3,8150000000.0,-2660000000.0,-2660000000.0,-1841000000.0,4322000000.0,7691000000.0,5490000000.0,1168000000.0,-1047000000.0,1244000000.0,21000000.0,-1841000000.0,12977000000.0,,,,,-1841000000.0,-1841000000.0,0.0,-1841000000.0,-1841000000.0,-1841000000.0,1765000000.0,-76000000.0,-774000000.0,-2946000000.0,,-1047000000.0,1244000000.0,4408000000.0,5286000000.0,107000000.0,4322000000.0,2552000000.0,1125000000.0,908000000.0,9694000000.0,7691000000.0,17385000000.0,17385000000.0
2023-06-30,0.0,0.259216,9104000000.0,0.0,0.0,2532000000.0,4143000000.0,6698000000.0,9104000000.0,4961000000.0,-1543000000.0,1543000000.0,2532000000.0,2532000000.0,12660000000.0,500000000.0,500000000.0,5.064,5.064,2532000000.0,2532000000.0,0.0,2532000000.0,2532000000.0,2532000000.0,886000000.0,3418000000.0,804000000.0,0.0,,-1543000000.0,1543000000.0,4157000000.0,5962000000.0,596000000.0,4143000000.0,4143000000.0,976000000.0,976000000.0,10119000000.0,6698000000.0,16817000000.0,16817000000.0
