Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Research And Development,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-26510344.827586,0.301254,9618000000.0,-88000000.0,-88000000.0,1355000000.0,4070000000.0,13295000000.0,9530000000.0,5460000000.0,-2270000000.0,2270000000.0,1416489655.172414,1355000000.0,34286000000.0,,,,,1355000000.0,1355000000.0,0.0,1355000000.0,-874000000.0,2229000000.0,2229000000.0,961000000.0,3190000000.0,1223000000.0,-88000000.0,,,-2270000000.0,2270000000.0,4352000000.0,20991000000.0,10038000000.0,4070000000.0,4070000000.0,,25343000000.0,13295000000.0,38638000000.0,38638000000.0,2024-03-31
14400890.868597,0.067929,14682000000.0,212000000.0,212000000.0,6600000000.0,4145000000.0,12318000000.0,14894000000.0,10749000000.0,-2667000000.0,2667000000.0,6402400890.868597,6600000000.0,30377000000.0,1197822142.0,1195652174.0,5.51,5.52,6600000000.0,6600000000.0,0.0,6600000000.0,-933000000.0,7533000000.0,7533000000.0,549000000.0,8082000000.0,5668000000.0,212000000.0,,,-2667000000.0,2667000000.0,5110000000.0,18059000000.0,10756000000.0,4145000000.0,4145000000.0,-13000000.0,23169000000.0,12318000000.0,35487000000.0,35487000000.0,2023-12-31
-46588894.073728,0.19412,8753000000.0,-240000000.0,-240000000.0,1256000000.0,3893000000.0,11270000000.0,8513000000.0,4620000000.0,-2477000000.0,2477000000.0,1449411105.926272,1256000000.0,31139000000.0,1196190476.0,1196190476.0,1.05,1.05,1256000000.0,1256000000.0,0.0,1256000000.0,-471000000.0,1727000000.0,1727000000.0,416000000.0,2143000000.0,1618000000.0,-240000000.0,166000000.0,74000000.0,-2477000000.0,2477000000.0,3484000000.0,19869000000.0,9752000000.0,3893000000.0,3893000000.0,,23353000000.0,11270000000.0,34623000000.0,34623000000.0,2023-09-30
0.0,0.189439,7747000000.0,0.0,0.0,1014000000.0,3580000000.0,12096000000.0,7747000000.0,4167000000.0,-2330000000.0,2330000000.0,1014000000.0,1014000000.0,30711000000.0,1192941176.0,1192941176.0,0.85,0.85,1014000000.0,1014000000.0,0.0,1014000000.0,-475000000.0,1489000000.0,1489000000.0,348000000.0,1837000000.0,984000000.0,0.0,,,-2330000000.0,2330000000.0,3515000000.0,18615000000.0,9242000000.0,3580000000.0,3580000000.0,,22130000000.0,12096000000.0,34226000000.0,34226000000.0,2023-06-30
311801449.859041,0.165324,9205000000.0,1886000000.0,1886000000.0,3132000000.0,3637000000.0,12325000000.0,11091000000.0,7454000000.0,-1364000000.0,2488000000.0,1557801449.859041,3132000000.0,24946000000.0,,,,,3132000000.0,3132000000.0,0.0,3132000000.0,-1013000000.0,4145000000.0,4145000000.0,821000000.0,4966000000.0,-3942000000.0,2078000000.0,-2088000000.0,,-1364000000.0,2488000000.0,10392000000.0,12621000000.0,-6386000000.0,3637000000.0,723000000.0,,23013000000.0,12325000000.0,35338000000.0,35338000000.0,2023-03-31
,,,,,,,,,,,,,,,1194285714.0,1194285714.0,-0.35,-0.35,,,,,,,,,,,,2714000000.0,,,,,,,,,-1132000000.0,,,,,2022-12-31
2697812396.333479,0.247665,6976000000.0,10893000000.0,10893000000.0,6597000000.0,4054000000.0,11827000000.0,17869000000.0,13815000000.0,-2360000000.0,2360000000.0,-1598187603.666521,6597000000.0,31932000000.0,1197277677.0,1197277677.0,5.51,5.51,6597000000.0,6597000000.0,0.0,6597000000.0,-2021000000.0,8618000000.0,8618000000.0,2837000000.0,11455000000.0,1093000000.0,10893000000.0,-320000000.0,-10573000000.0,-2360000000.0,2360000000.0,1829000000.0,20105000000.0,9065000000.0,4054000000.0,4054000000.0,,21934000000.0,11827000000.0,33761000000.0,33761000000.0,2024-06-30 00:00:00
