Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
1297149448.875445,0.225172,5884400000.0,5760700000.0,5760700000.0,7042300000.0,2129400000.0,18469200000.0,11645100000.0,9515700000.0,-325400000.0,325400000.0,2578749448.875445,7042300000.0,30410000000.0,2792300000.0,,,,,7042300000.0,7042300000.0,0.0,7042300000.0,-78600000.0,7120900000.0,7120900000.0,2069400000.0,9190300000.0,768700000.0,5760700000.0,-325400000.0,325400000.0,2567000000.0,11940800000.0,3701900000.0,2129400000.0,2129400000.0,2792300000.0,14507800000.0,18469200000.0,32977000000.0,32977000000.0,2024-03-31
0.0,0.220017,7385300000.0,0.0,0.0,3743600000.0,1645300000.0,19364800000.0,7385300000.0,5740000000.0,-988100000.0,988100000.0,3743600000.0,3743600000.0,30026300000.0,2736100000.0,355517569.0,355517569.0,10.53,10.53,3743600000.0,3743600000.0,0.0,3743600000.0,37200000.0,3706400000.0,3706400000.0,1045500000.0,4751900000.0,803300000.0,0.0,-988100000.0,988100000.0,4639900000.0,10661500000.0,3613800000.0,1645300000.0,1645300000.0,2736100000.0,15301400000.0,19364800000.0,34666200000.0,34666200000.0,2023-12-31
0.0,0.274434,5619900000.0,0.0,0.0,2347300000.0,1522200000.0,16843200000.0,5619900000.0,4097700000.0,-954500000.0,954500000.0,2347300000.0,2347300000.0,26780700000.0,2648800000.0,355651515.0,355651515.0,6.6,6.6,2347300000.0,2347300000.0,0.0,2347300000.0,66700000.0,2280600000.0,2280600000.0,862600000.0,3143200000.0,800500000.0,0.0,-954500000.0,954500000.0,3043500000.0,9937500000.0,3443100000.0,1522200000.0,1522200000.0,2648800000.0,12981000000.0,16843200000.0,29824200000.0,29824200000.0,2023-09-30
0.0,0.214895,4460100000.0,,,1734800000.0,1414200000.0,14911700000.0,4460100000.0,3045900000.0,-923000000.0,923000000.0,1734800000.0,1734800000.0,24023900000.0,2714300000.0,355491803.0,355491803.0,4.88,4.88,1734800000.0,1734800000.0,0.0,1734800000.0,68100000.0,1666700000.0,1666700000.0,456200000.0,2122900000.0,520200000.0,,-923000000.0,923000000.0,2259800000.0,9112200000.0,2924200000.0,1414200000.0,1414200000.0,2714300000.0,11372000000.0,14911700000.0,26283700000.0,26283700000.0,2023-06-30
668514742.284192,0.290772,620100000.0,2299100000.0,2299100000.0,531600000.0,1365700000.0,13415800000.0,2919200000.0,1553500000.0,-1146900000.0,915200000.0,-1098985257.715808,531600000.0,19973200000.0,1546300000.0,,,,,541600000.0,541600000.0,-10000000.0,531600000.0,91500000.0,440100000.0,440100000.0,185600000.0,638300000.0,-1609700000.0,2188000000.0,-1146900000.0,915200000.0,999200000.0,6557400000.0,-3585600000.0,1365700000.0,1365700000.0,1546300000.0,7556600000.0,13415800000.0,20972400000.0,20972400000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,,355319149.0,355319149.0,4.7,4.7,,,,,,,,,,,0.0,,,,,,,,,,,,,2022-12-31
0.0,0.221045,7142600000.0,0.0,0.0,3925800000.0,1813200000.0,22515400000.0,7142600000.0,5329400000.0,-315500000.0,315500000.0,3925800000.0,3925800000.0,36730600000.0,4531400000.0,355588768.0,355588768.0,11.04,11.04,3925700000.0,3925700000.0,100000.0,3925800000.0,13700000.0,3912100000.0,3905600000.0,1108300000.0,5013900000.0,459600000.0,0.0,-315500000.0,315500000.0,4313800000.0,14215200000.0,4596900000.0,1813200000.0,1813200000.0,4531400000.0,18529000000.0,22515400000.0,41044400000.0,41044400000.0,2024-06-30 00:00:00
