Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
40610000.0,40610000.0,969609000.0,970555000.0,50459000.0,1022140000.0,26904000.0,50459000.0,51585000.0,910441000.0,51585000.0,51585000.0,-354515000.0,,406100000.0,406100000.0,1044587000.0,858856000.0,0.0,858856000.0,858856000.0,185731000.0,6522000.0,,111699000.0,111699000.0,67510000.0,,67510000.0,1096172000.0,883538000.0,,,133647000.0,4749000.0,4749000.0,,1126000.0,1126000.0,722536000.0,,722536000.0,92440000.0,630096000.0,,,,,212635000.0,1395000.0,,77576000.0,17790000.0,1415000.0,108328000.0,6131000.0,5185000.0,946000.0,,2024-03-31
40610000.0,40610000.0,889516935.0,890661695.0,59136937.0,950924357.0,54600963.0,59136937.0,60262662.0,870501550.0,60262662.0,60262662.0,-367852000.0,-438594474.0,406100000.0,406100000.0,937681969.0,810238888.0,0.0,810238888.0,810238888.0,127443081.0,5009171.0,0.0,80422807.0,80422807.0,42011103.0,0.0,42011103.0,997944631.0,815900585.0,295000.0,305036.0,131482950.0,4748536.0,4748536.0,0.0,1125725.0,1125725.0,657043338.0,-450968912.0,1108012250.0,0.0,33204920.0,940154179.0,79834273.0,54818878.0,0.0,182044044.0,1997000.0,17482974.0,49655067.0,15692000.0,1997266.0,97341900.0,15566837.0,14422077.0,1144760.0,1144760.0,2023-03-31
