Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
268627009.0,268627009.0,1194000000.0,27233000000.0,32845000000.0,8644000000.0,27233000000.0,230000000.0,31881000000.0,32316000000.0,32685000000.0,804000000.0,31881000000.0,31612000000.0,,,,269000000.0,269000000.0,12294000000.0,1082000000.0,,460000000.0,569000000.0,134000000.0,435000000.0,53000000.0,11212000000.0,827000000.0,625000000.0,96000000.0,529000000.0,,8000000.0,8780000000.0,,,61000000.0,8719000000.0,44979000000.0,25123000000.0,219000000.0,,21000000.0,271000000.0,271000000.0,,,,4648000000.0,1515000000.0,3133000000.0,19852000000.0,,19852000000.0,1506000000.0,18346000000.0,,,,,19856000000.0,686000000.0,,0.0,,,9134000000.0,,,,6000000.0,85000000.0,3758000000.0,,,6187000000.0,93000000.0,6094000000.0,,,2024-03-31
268619291.0,268619291.0,978000000.0,24252000000.0,29796000000.0,8231000000.0,24252000000.0,204000000.0,29022000000.0,29288000000.0,30928000000.0,1906000000.0,29022000000.0,28753000000.0,,,,269000000.0,269000000.0,12352000000.0,839000000.0,,408000000.0,392000000.0,126000000.0,266000000.0,39000000.0,11513000000.0,533000000.0,586000000.0,78000000.0,508000000.0,,50000000.0,7245000000.0,,,92000000.0,7153000000.0,43280000000.0,23536000000.0,373000000.0,,19000000.0,260000000.0,260000000.0,,,,4770000000.0,1645000000.0,3125000000.0,18112000000.0,,18112000000.0,2051000000.0,16061000000.0,,,,,19744000000.0,919000000.0,,,,,9738000000.0,,,,205000000.0,214000000.0,3219000000.0,,,5449000000.0,120000000.0,5329000000.0,,,2023-09-30
268611572.0,268611572.0,871000000.0,22174000000.0,27885000000.0,9155000000.0,22174000000.0,98000000.0,27112000000.0,27428000000.0,29589000000.0,2477000000.0,27112000000.0,20000000.0,12000000.0,22457000000.0,3976000000.0,269000000.0,269000000.0,14142000000.0,805000000.0,31000000.0,409000000.0,365000000.0,49000000.0,316000000.0,31000000.0,13337000000.0,647000000.0,506000000.0,49000000.0,457000000.0,26000000.0,26000000.0,10860000000.0,2779000000.0,1000000.0,80000000.0,8000000000.0,43731000000.0,21239000000.0,135000000.0,359000000.0,110000000.0,0.0,226000000.0,0.0,0.0,0.0,4938000000.0,1813000000.0,3125000000.0,15828000000.0,-6914000000.0,22742000000.0,1261000000.0,38000000.0,12552000000.0,5431000000.0,3460000000.0,0.0,22492000000.0,947000000.0,0.0,1953000000.0,1000000.0,961000000.0,8746000000.0,3682000000.0,605000000.0,4459000000.0,284000000.0,182000000.0,3545000000.0,-134000000.0,3679000000.0,6820000000.0,1525000000.0,5295000000.0,4572000000.0,723000000.0,2023-03-31
