Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Restricted Cash,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,259940469.0,259940469.0,1030272000.0,1030768000.0,1204057000.0,2234825000.0,1169274000.0,1204057000.0,1204057000.0,1267189000.0,1204057000.0,1204057000.0,944117000.0,259940000.0,259940000.0,1716057000.0,142431000.0,,72775000.0,63132000.0,63132000.0,6524000.0,1573626000.0,122712000.0,,967636000.0,967636000.0,,483278000.0,,483278000.0,2920114000.0,177215000.0,1000.0,52000.0,51096000.0,,,42316000.0,,,,,2742900000.0,54159000.0,,76000.0,2579500000.0,109165000.0,108669000.0,496000.0,,2024-03-31
0.0,259940469.0,259940469.0,965627000.0,966801000.0,1237785000.0,2204586000.0,1208216000.0,1237785000.0,1237785000.0,1312115000.0,1237785000.0,1237785000.0,977845000.0,259940000.0,259940000.0,1669272000.0,153651000.0,1000.0,72810000.0,74330000.0,74330000.0,6510000.0,1515621000.0,84226000.0,,892471000.0,892471000.0,,538924000.0,,538924000.0,2907057000.0,183220000.0,,171000.0,51135000.0,,,47793000.0,,,,,2723837000.0,43228000.0,,154000.0,2576397000.0,104058000.0,102884000.0,1174000.0,,2023-09-30
,259940469.0,259940469.0,948536000.0,949070000.0,1223723000.0,2172793000.0,1200260000.0,1223723000.0,1223723000.0,1311825000.0,1223723000.0,1223723000.0,963783000.0,259940000.0,259940000.0,1534213000.0,165568000.0,1000.0,72812000.0,88102000.0,88102000.0,4653000.0,1368645000.0,1744000.0,41427000.0,860968000.0,860968000.0,6248000.0,435436000.0,12830000.0,422606000.0,2757936000.0,189030000.0,,249000.0,51135000.0,50000000.0,1135000.0,53525000.0,-110509000.0,164034000.0,1000.0,164033000.0,2568905000.0,47867000.0,102884000.0,2392000.0,2415228000.0,534000.0,102884000.0,534000.0,534000.0,2023-03-31
