Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Other Properties,Current Assets,Other Current Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Retained Earnings,Additional Paid In Capital,Pensionand Other Post Retirement Benefit Plans Current,Other Payable,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Properties,Prepaid Assets,Inventory,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Financial
29121658.0,29121658.0,21943000.0,27616000.0,11140000.0,220859000.0,56320000.0,11140000.0,5587000.0,198830000.0,208246000.0,198830000.0,198830000.0,-17844000.0,216674000.0,216674000.0,142714000.0,78593000.0,60797000.0,1833000.0,1551000.0,12466000.0,3050000.0,9416000.0,1946000.0,64121000.0,35209000.0,15150000.0,2537000.0,12613000.0,5552000.0,8210000.0,1985000.0,6225000.0,341544000.0,221102000.0,1000.0,13652000.0,0.0,,187690000.0,73844000.0,113846000.0,19759000.0,19759000.0,19759000.0,120441000.0,21580000.0,780000.0,3947000.0,85367000.0,8767000.0,8681000.0,86000.0,2023-09-30,,,,,,,,,,,,,
29121658.0,29121658.0,25013000.0,25053000.0,120768000.0,223554000.0,60916000.0,120768000.0,,198501000.0,207872000.0,198501000.0,198501000.0,-4173000.0,202674000.0,202674000.0,143584000.0,76290000.0,55195000.0,1833000.0,1458000.0,9371000.0,,9371000.0,786000.0,67294000.0,26309000.0,15682000.0,,15682000.0,4002000.0,21301000.0,3924000.0,17377000.0,342085000.0,213875000.0,1000.0,3734000.0,113797000.0,113797000.0,77733000.0,77733000.0,,18610000.0,18610000.0,18610000.0,128210000.0,2706000.0,22599000.0,2304000.0,88937000.0,11664000.0,11624000.0,40000.0,2023-03-31,,,,,,,,,,,,,
