Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,55000000.0,55000000.0,177097000.0,276817000.0,715929000.0,966751000.0,-84585000.0,715929000.0,25995000.0,715929000.0,876396000.0,715929000.0,715929000.0,660929000.0,,,55000000.0,55000000.0,419598000.0,186462000.0,,,,,186462000.0,25995000.0,160467000.0,233136000.0,131460000.0,,90355000.0,90355000.0,,3214000.0,8107000.0,,8107000.0,1135527000.0,986977000.0,29506000.0,,61185000.0,14153000.0,14153000.0,,874911000.0,,,7222000.0,,7222000.0,,7222000.0,,,,,148551000.0,16052000.0,24714000.0,,,0.0,,,,,,,21543000.0,,,86242000.0,12517000.0,73725000.0,,,2024-03-31
0.0,55000000.0,55000000.0,339005000.0,354331000.0,818576000.0,1172907000.0,-188608000.0,818576000.0,,818576000.0,998084000.0,818576000.0,818576000.0,763576000.0,,,55000000.0,55000000.0,551819000.0,230460000.0,50952000.0,,,0.0,179508000.0,,179508000.0,321359000.0,107920000.0,,174823000.0,174823000.0,,10441000.0,28175000.0,,28175000.0,1370395000.0,1237644000.0,163441000.0,,94528000.0,15807000.0,15807000.0,,0.0,0.0,,963868000.0,,963868000.0,0.0,963868000.0,,,,,132751000.0,23000.0,69263000.0,,,9176000.0,,,,,,,15827000.0,,,38462000.0,23136000.0,15326000.0,,,2023-09-30
0.0,55000000.0,55000000.0,392298000.0,436737000.0,897423000.0,1308188000.0,-229412000.0,897423000.0,25972000.0,897423000.0,1117540000.0,897423000.0,897423000.0,842422000.0,-210962000.0,148750000.0,55000000.0,55000000.0,727937000.0,270108000.0,49992000.0,0.0,24019000.0,0.0,246089000.0,25972000.0,220117000.0,457829000.0,54999000.0,0.0,190648000.0,190648000.0,14789000.0,14788000.0,195373000.0,58764000.0,136609000.0,1625360000.0,1396943000.0,184850000.0,34672000.0,121848000.0,40359000.0,55257000.0,40359000.0,5243000.0,0.0,0.0,1029746000.0,-844545000.0,1874291000.0,0.0,41054000.0,652667000.0,417430000.0,763140000.0,0.0,228417000.0,-3000.0,14000000.0,11323000.0,1567000.0,111529000.0,1509000.0,69600000.0,30560000.0,9860000.0,286000.0,0.0,71248000.0,-33335000.0,104582000.0,18467000.0,286000.0,18467000.0,15100000.0,3367000.0,2023-03-31
