Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Taxes Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Current Deferred Taxes Liabilities
482946.0,109988019.0,110470965.0,74908918000.0,79149406000.0,23662406000.0,103157889000.0,101750867000.0,23662406000.0,24008483000.0,103157889000.0,24008483000.0,24008483000.0,22908051000.0,,,1100432000.0,1100432000.0,80891612000.0,80649823000.0,151642000.0,,79149406000.0,79149406000.0,101740000.0,241789000.0,,,,,241789000.0,179742000.0,23495000.0,38552000.0,104900095000.0,2907439000.0,388810000.0,,90810000.0,180000000.0,920665000.0,920665000.0,63191000.0,346077000.0,9011000.0,337066000.0,917886000.0,,917886000.0,921000.0,916965000.0,,,,,101992656000.0,,,,,,89081244000.0,115613000.0,84474000.0,,,12711325000.0,8470837000.0,4240488000.0,,,2024-03-31,
,99634381.0,99634381.0,67274113000.0,72828694000.0,18650343000.0,91830623000.0,89086155000.0,18650343000.0,19001929000.0,91830623000.0,19001929000.0,19001929000.0,18009863000.0,,,992066000.0,992066000.0,74503111000.0,74244249000.0,131247000.0,,72828694000.0,72828694000.0,104577000.0,258862000.0,,,,,258862000.0,234294000.0,,24568000.0,93505040000.0,4160023000.0,379887000.0,,271274000.0,238598000.0,1962218000.0,1962218000.0,64804000.0,351586000.0,14520000.0,337066000.0,891656000.0,,891656000.0,,891656000.0,,,,,89345017000.0,,,,,,73609080000.0,654161000.0,44304000.0,,,15037472000.0,9482891000.0,5554581000.0,,,2023-09-30,
,85224125.0,85224125.0,56535411000.0,59112474000.0,15926261000.0,75393718000.0,7276309000.0,15926261000.0,16281244000.0,43908954000.0,16281244000.0,16281244000.0,292708000.0,1973505000.0,11650331000.0,847963000.0,847963000.0,62214437000.0,27852857000.0,95382000.0,70750000.0,27627710000.0,27627710000.0,93435000.0,34361580000.0,95382000.0,31484764000.0,31484764000.0,22685000.0,205952000.0,155165000.0,,50787000.0,78495681000.0,36857793000.0,81243000.0,100592000.0,885748000.0,223164000.0,3470677000.0,3470677000.0,66426000.0,354983000.0,17917000.0,337066000.0,868189000.0,-695345000.0,1563534000.0,0.0,81730000.0,648677000.0,681290000.0,151837000.0,0.0,41637889000.0,248217000.0,223164000.0,0.0,0.0,332163000.0,32258632000.0,432755000.0,53945000.0,-60000.0,54005000.0,8521768000.0,5944705000.0,2577063000.0,355805000.0,2221258000.0,2023-03-31,
