Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Restructuring And Mergern Acquisition
-190697064.632568,0.088367,6680500000.0,-2158000000.0,-2158000000.0,2166300000.0,1157600000.0,21158800000.0,4522500000.0,3364900000.0,-428300000.0,428300000.0,4133602935.367432,2166300000.0,34131000000.0,,,,,2166300000.0,2166300000.0,0.0,2166300000.0,43700000.0,2122600000.0,2122600000.0,259500000.0,2936600000.0,384500000.0,-2158000000.0,-428300000.0,428300000.0,5138400000.0,12972200000.0,8402000000.0,1157600000.0,1157600000.0,,,18110600000.0,21158800000.0,39269400000.0,39269400000.0,2024-03-31,
-230506978.233035,0.251838,6319700000.0,-915300000.0,-915300000.0,2788700000.0,855100000.0,21377900000.0,5404400000.0,4549300000.0,-331900000.0,331900000.0,3473493021.766965,2788700000.0,33170500000.0,929566667.0,929566667.0,3.0,3.0,2788700000.0,2788700000.0,0.0,2788700000.0,-226400000.0,3015100000.0,3015100000.0,1062100000.0,4217400000.0,595900000.0,-915300000.0,-331900000.0,331900000.0,4868700000.0,11792600000.0,7763200000.0,855100000.0,855100000.0,,,16661300000.0,21377900000.0,38039200000.0,38039200000.0,2023-12-31,
-39036729.954368,0.268294,6269200000.0,-145500000.0,-145500000.0,3382400000.0,939300000.0,21469100000.0,6123700000.0,5184400000.0,-275600000.0,275600000.0,3488863270.045632,3382400000.0,32906200000.0,929230769.0,929230769.0,3.64,3.64,3382400000.0,3382400000.0,0.0,3382400000.0,-256800000.0,3639200000.0,3639200000.0,1317000000.0,4908800000.0,898300000.0,-145500000.0,-275600000.0,275600000.0,4431600000.0,11437100000.0,7456300000.0,939300000.0,939300000.0,,,15868700000.0,21469100000.0,37337800000.0,37337800000.0,2023-09-30,
-13797180.451128,0.267387,6027800000.0,-51600000.0,-51600000.0,3165900000.0,819500000.0,21633300000.0,5976200000.0,5156700000.0,-262300000.0,262300000.0,3203702819.548872,3165900000.0,32781300000.0,928416422.0,928416422.0,3.41,3.41,3165900000.0,3165900000.0,0.0,3165900000.0,-211200000.0,3377100000.0,3377700000.0,1308700000.0,4894400000.0,577500000.0,-51600000.0,-262300000.0,262300000.0,4630800000.0,11148000000.0,7371000000.0,819500000.0,819500000.0,,,15778800000.0,21633300000.0,37412100000.0,37412100000.0,2023-06-30,
32203497.156061,0.232181,5467300000.0,138700000.0,138700000.0,2685900000.0,828600000.0,23908800000.0,5606000000.0,4777400000.0,1009500000.0,276600000.0,2579403497.156061,2685900000.0,30665700000.0,,,,,2685900000.0,2685900000.0,0.0,2685900000.0,-209700000.0,2895600000.0,2895600000.0,1045000000.0,4500800000.0,-961300000.0,-1539100000.0,1009500000.0,276600000.0,4288100000.0,6756900000.0,-6982400000.0,828600000.0,828600000.0,10577500000.0,8429100000.0,11045000000.0,23908800000.0,34953800000.0,34953800000.0,2023-03-31,
,,,,,,,,,,,,,,,928126649.0,928126649.0,3.79,3.79,,,,,,,,,,,,,,,,,,,2284100000.0,2284100000.0,,,,,2022-12-31,
-50751367.645417,0.298537,7064500000.0,-170000000.0,-170000000.0,2903200000.0,1480000000.0,23974300000.0,6894500000.0,5414500000.0,-936000000.0,936000000.0,3022448632.354583,2903200000.0,38326900000.0,963701255.0,963701255.0,3.012552,3.012552,2903200000.0,2903200000.0,0.0,2903200000.0,10700000.0,2892500000.0,2892500000.0,1337000000.0,4478500000.0,391700000.0,-170000000.0,-936000000.0,936000000.0,5193800000.0,14352600000.0,9422700000.0,1480000000.0,1480000000.0,,,19546400000.0,23974300000.0,43520700000.0,43520700000.0,2024-06-30 00:00:00,170000000.0
