Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
99592356.023558,0.047073,19355300000.0,2115700000.0,2115700000.0,10551500000.0,4530600000.0,15864100000.0,21471000000.0,16940400000.0,-929100000.0,929100000.0,8535392356.023558,10551500000.0,76484100000.0,,,,,10551500000.0,10551500000.0,0.0,10551500000.0,-4706100000.0,15257600000.0,15257600000.0,753700000.0,16011300000.0,2334600000.0,2115700000.0,0.0,-929100000.0,929100000.0,12455800000.0,60620000000.0,31756600000.0,4530600000.0,4530600000.0,21190600000.0,21190600000.0,73075800000.0,15864100000.0,88939900000.0,88939900000.0,2024-03-31
0.0,0.247611,19359600000.0,0.0,0.0,8230500000.0,4177000000.0,11895700000.0,19359600000.0,15182600000.0,-701400000.0,701400000.0,8230500000.0,8230500000.0,68144000000.0,2132253886.0,1988043478.0,3.86,4.14,8230500000.0,8230500000.0,0.0,8230500000.0,-2665000000.0,10895500000.0,10895500000.0,3585700000.0,14481200000.0,1936500000.0,0.0,,-701400000.0,701400000.0,13144000000.0,56248300000.0,30182000000.0,4177000000.0,4177000000.0,18692400000.0,18692400000.0,69392300000.0,11895700000.0,81288000000.0,81288000000.0,2023-12-31
0.0,0.263094,17818600000.0,0.0,0.0,7929600000.0,3809000000.0,10330100000.0,17818600000.0,14009600000.0,-612500000.0,612500000.0,7929600000.0,7929600000.0,65030300000.0,2120213904.0,1987368421.0,3.74,3.99,7929600000.0,7929600000.0,0.0,7929600000.0,-1942800000.0,9872400000.0,9872400000.0,3524700000.0,13397100000.0,4760400000.0,0.0,,-612500000.0,612500000.0,9209200000.0,54700200000.0,29475300000.0,3809000000.0,3809000000.0,18004000000.0,18004000000.0,63909400000.0,10330100000.0,74239500000.0,74239500000.0,2023-09-30
0.0,0.248865,19354500000.0,0.0,0.0,9056100000.0,3717200000.0,11137900000.0,19354500000.0,15637300000.0,-520700000.0,520700000.0,9056100000.0,9056100000.0,74176700000.0,2101183295.0,1985986842.0,4.31,4.56,9056100000.0,9056100000.0,0.0,9056100000.0,-2298500000.0,11354600000.0,11354600000.0,3762000000.0,15116600000.0,2632400000.0,0.0,,-520700000.0,520700000.0,12952300000.0,63038800000.0,33425300000.0,3717200000.0,3717200000.0,22119400000.0,22119400000.0,75991100000.0,11137900000.0,87129000000.0,87129000000.0,2023-06-30
0.0,0.283899,16379200000.0,0.0,0.0,6463100000.0,4674300000.0,15772900000.0,16379200000.0,11704900000.0,-678100000.0,678100000.0,6463100000.0,6463100000.0,74991000000.0,2438905660.0,2420636704.0,2.65,2.67,6463100000.0,6463100000.0,0.0,6463100000.0,-1433200000.0,7896300000.0,7896300000.0,3130500000.0,11026800000.0,3547200000.0,0.0,,-678100000.0,678100000.0,8123800000.0,59218100000.0,30412200000.0,4674300000.0,4674300000.0,20961200000.0,20961200000.0,67341900000.0,15772900000.0,83114800000.0,83114800000.0,2024-06-30 00:00:00
