Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,400652297.0,400652297.0,17436900000.0,18739300000.0,72700800000.0,91271000000.0,20525400000.0,72700800000.0,203800000.0,72735500000.0,84177700000.0,72580600000.0,-154900000.0,72735500000.0,68729000000.0,,,,4006500000.0,4006500000.0,42509100000.0,22143200000.0,41700000.0,,10257800000.0,11596400000.0,154200000.0,11442200000.0,247300000.0,20365900000.0,802800000.0,7142900000.0,49600000.0,7093300000.0,,419200000.0,7938300000.0,,,7938300000.0,115089700000.0,74198400000.0,1668900000.0,,45500000.0,45500000.0,,4991300000.0,,34700000.0,34700000.0,,66030300000.0,,66030300000.0,1835400000.0,64194900000.0,,,,,40891300000.0,4620500000.0,,30300000.0,,,12546600000.0,,,,,300000.0,0.0,1915600000.0,,,21778000000.0,20679400000.0,1098600000.0,,,2024-03-31
,416207852.0,416207852.0,17876800000.0,23031500000.0,77010200000.0,99867000000.0,31342300000.0,77010200000.0,220400000.0,77055900000.0,91953400000.0,76901800000.0,-154100000.0,77055900000.0,72893800000.0,,,,4162100000.0,4162100000.0,59726300000.0,24209800000.0,37300000.0,,8895000000.0,15071000000.0,173500000.0,14897500000.0,206500000.0,35516500000.0,523800000.0,7960500000.0,46900000.0,7913600000.0,,793100000.0,11217900000.0,,,11217900000.0,136628100000.0,69769300000.0,2269100000.0,,38200000.0,38200000.0,,4207900000.0,,45700000.0,45700000.0,,62661500000.0,,62661500000.0,947100000.0,61714400000.0,,,,,66858800000.0,4471700000.0,,29100000.0,,,8056000000.0,,,,,400000.0,0.0,8907900000.0,,,45393700000.0,40459400000.0,4934300000.0,,,2023-09-30
68000.0,416139852.0,416207852.0,32983400000.0,33584000000.0,70657400000.0,104033800000.0,24866000000.0,70657400000.0,231300000.0,70681100000.0,88885200000.0,70529200000.0,-151900000.0,70681100000.0,26400000.0,27100000.0,62252700000.0,66700000.0,4162100000.0,4162100000.0,57171500000.0,25650100000.0,32000000.0,218400000.0,7043000000.0,18388700000.0,184600000.0,18204100000.0,186400000.0,31521400000.0,2900000.0,15195300000.0,46700000.0,15148600000.0,717600000.0,364100000.0,12775000000.0,470900000.0,188700000.0,12115400000.0,127700700000.0,71313300000.0,110900000.0,758600000.0,35500000.0,35300000.0,200000.0,5397700000.0,5397700000.0,23700000.0,23700000.0,0.0,63626400000.0,-14410800000.0,78037200000.0,1016300000.0,665200000.0,68179500000.0,8055100000.0,121100000.0,0.0,56387400000.0,4937000000.0,0.0,12000000.0,188700000.0,4948000000.0,13738300000.0,125000000.0,11983700000.0,182200000.0,1447400000.0,1135000000.0,0.0,17604800000.0,-165800000.0,17770600000.0,18760600000.0,18391300000.0,369300000.0,500000.0,368800000.0,2023-03-31
