Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-110520000.0,0.4,2257000000.0,-276300000.0,-276300000.0,121800000.0,772000000.0,12830200000.0,1980700000.0,1208700000.0,-69000000.0,69000000.0,287580000.0,133500000.0,20368600000.0,,,,,133500000.0,133500000.0,0.0,133500000.0,0.0,133500000.0,11700000.0,121800000.0,1017900000.0,1139700000.0,153700000.0,-276300000.0,,0.0,276300000.0,-69000000.0,69000000.0,1330600000.0,7538400000.0,1572700000.0,772000000.0,772000000.0,2642200000.0,2642200000.0,8869000000.0,12830200000.0,21699200000.0,21699200000.0,2024-03-31
-211564645.726808,0.350621,2369600000.0,-603400000.0,-603400000.0,533400000.0,761400000.0,11876200000.0,1766200000.0,1004800000.0,-183400000.0,183400000.0,925235354.273192,585400000.0,19126400000.0,959672131.0,959672131.0,0.61,0.61,585400000.0,585400000.0,0.0,585400000.0,0.0,585400000.0,52000000.0,533400000.0,288000000.0,821400000.0,276900000.0,-603400000.0,,0.0,603400000.0,-183400000.0,183400000.0,1330300000.0,7250200000.0,1516200000.0,761400000.0,761400000.0,2530900000.0,2530900000.0,8580500000.0,11876200000.0,20456700000.0,20456700000.0,2023-12-31
-353276475.058351,0.295012,4046100000.0,-1197500000.0,-1197500000.0,1298800000.0,772300000.0,14254100000.0,2848600000.0,2076300000.0,-234000000.0,234000000.0,2143023524.941649,1229600000.0,21822700000.0,960625000.0,960625000.0,1.28,1.28,1229600000.0,1229600000.0,0.0,1229600000.0,0.0,1229600000.0,-69200000.0,1298800000.0,543500000.0,1842300000.0,717800000.0,-1197500000.0,,,,-234000000.0,234000000.0,2555200000.0,7568600000.0,1467200000.0,772300000.0,772300000.0,2730500000.0,2730500000.0,10123800000.0,14254100000.0,24377900000.0,24377900000.0,2023-09-30
-200400000.0,0.3,1695000000.0,-668000000.0,-668000000.0,38700000.0,785200000.0,11432700000.0,1027000000.0,241800000.0,-234300000.0,234300000.0,506300000.0,-534200000.0,19073800000.0,953928571.0,953928571.0,-0.56,-0.56,-534200000.0,-534200000.0,0.0,-534200000.0,0.0,-534200000.0,-572900000.0,38700000.0,-31200000.0,7500000.0,144600000.0,-706400000.0,,0.0,706400000.0,-234300000.0,234300000.0,764200000.0,7641100000.0,1486300000.0,785200000.0,785200000.0,2773400000.0,2773400000.0,8405300000.0,11432700000.0,19838000000.0,19838000000.0,2023-06-30
-269940000.0,0.3,2275400000.0,-899800000.0,-899800000.0,75900000.0,621000000.0,13143300000.0,1375600000.0,754600000.0,-392900000.0,392900000.0,705760000.0,-1960100000.0,19495000000.0,,,,,-1960100000.0,-1960100000.0,0.0,-1960100000.0,0.0,-1960100000.0,,75900000.0,285800000.0,361700000.0,122600000.0,-899900000.0,899900000.0,,,-392900000.0,392900000.0,1530900000.0,6351700000.0,11944800000.0,621000000.0,621000000.0,2646600000.0,2646600000.0,7882600000.0,13143300000.0,21025900000.0,21025900000.0,2023-03-31
,,,,,,,,,,,,,,,972800000.0,972800000.0,0.25,0.25,,,,,,,-327100000.0,,,,,,746000000.0,255100000.0,688600000.0,,,,,,,,,,,,,,2022-12-31
-89504069.153372,0.301462,2907300000.0,-296900000.0,-296900000.0,1256600000.0,756100000.0,11769800000.0,2610400000.0,1854300000.0,-55400000.0,55400000.0,1463995930.846628,1181000000.0,19344900000.0,960162602.0,960162602.0,1.23,1.23,1181000000.0,1181000000.0,0.0,1181000000.0,0.0,1181000000.0,-75600000.0,1256600000.0,542300000.0,1798900000.0,189900000.0,-286000000.0,,,286000000.0,-55400000.0,55400000.0,1960400000.0,7575100000.0,1665200000.0,756100000.0,756100000.0,2895700000.0,2895700000.0,9535500000.0,11769800000.0,21305300000.0,21305300000.0,2024-06-30 00:00:00
