Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
20192161.097109,0.256047,3794540000.0,78861000.0,78861000.0,2841848000.0,7482160000.0,3873401000.0,3873401000.0,-53469000.0,53469000.0,2783179161.097109,2841848000.0,8079535000.0,,,,,2841848000.0,2841848000.0,0.0,2841848000.0,2841848000.0,2841848000.0,978084000.0,3819932000.0,326345000.0,78861000.0,,-53469000.0,53469000.0,3468195000.0,597375000.0,597375000.0,4065570000.0,7482160000.0,11547730000.0,11547730000.0,2024-03-31
-37985847.781117,0.261748,4256277000.0,-145124000.0,-145124000.0,2999979000.0,6997168000.0,4111153000.0,4111153000.0,-47531000.0,47531000.0,3107117152.218883,2999979000.0,7382360000.0,799994400.0,799994400.0,3.75,3.75,2999979000.0,2999979000.0,0.0,2999979000.0,2999979000.0,2999979000.0,1063643000.0,4063622000.0,455615000.0,-145124000.0,,-47531000.0,47531000.0,3800662000.0,385192000.0,385192000.0,4185854000.0,6997168000.0,11183022000.0,11183022000.0,2023-12-31
0.0,0.254379,3996273000.0,0.0,0.0,2946775000.0,6054726000.0,3996273000.0,3996273000.0,-44165000.0,44165000.0,2946775000.0,2946775000.0,6427611000.0,800754076.0,800754076.0,3.68,3.68,2946775000.0,2946775000.0,0.0,2946775000.0,2946775000.0,2946775000.0,1005333000.0,3952108000.0,470707000.0,0.0,,-44165000.0,44165000.0,3525566000.0,372885000.0,372885000.0,3898451000.0,6054726000.0,9953177000.0,9953177000.0,2023-09-30
-133314739.695375,0.256849,3685086000.0,-519040000.0,-519040000.0,2322171000.0,6303724000.0,3166046000.0,3166046000.0,-41284000.0,41284000.0,2707896260.304625,2322171000.0,6724880000.0,800748621.0,800748621.0,2.9,2.9,2322171000.0,2322171000.0,0.0,2322171000.0,2322171000.0,2322171000.0,802591000.0,3124762000.0,392110000.0,-519040000.0,,-41284000.0,41284000.0,3292976000.0,421156000.0,421156000.0,3714132000.0,6303724000.0,10017856000.0,10017856000.0,2023-06-30
-126596.024438,0.25575,3785529000.0,-495000.0,-495000.0,2787989000.0,5559050000.0,3785034000.0,3785034000.0,774671000.0,38998000.0,2788357403.975562,2787989000.0,6245814000.0,,,,,2787989000.0,2787989000.0,0.0,2787989000.0,2787989000.0,2787989000.0,958047000.0,3746036000.0,-447514000.0,-495000.0,0.0,774671000.0,38998000.0,3397261000.0,686764000.0,-379414000.0,4084025000.0,5559050000.0,9643075000.0,9643075000.0,2023-03-31
,,,,,,,,,,,,,,801027273.0,801027273.0,3.19,3.19,,,,,,,,,,,0.0,,,,,,,,,,2022-12-31
5580720.151103,0.252842,4124690000.0,22072000.0,22072000.0,3077186000.0,7164741000.0,4146762000.0,4146762000.0,-28243000.0,28243000.0,3060694720.151103,3077186000.0,7590988000.0,799269091.0,799269091.0,3.85,3.85,3077186000.0,3077186000.0,0.0,3077186000.0,3077186000.0,3077186000.0,1041333000.0,4118519000.0,514178000.0,22072000.0,,-28243000.0,28243000.0,3610512000.0,426247000.0,426247000.0,4036759000.0,7164741000.0,11201500000.0,11201500000.0,2024-06-30 00:00:00
