Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.295514,2132100000.0,,,1377200000.0,170200000.0,4235700000.0,2132100000.0,1961900000.0,-7000000.0,7000000.0,1377200000.0,1377200000.0,5625800000.0,73138609.0,73099788.0,18.83,18.84,1377200000.0,1377200000.0,0.0,1377200000.0,1377200000.0,1377200000.0,577700000.0,1954900000.0,199500000.0,,-7000000.0,7000000.0,1751000000.0,1390100000.0,918400000.0,170200000.0,170200000.0,301500000.0,301500000.0,3141100000.0,4235700000.0,7376800000.0,7376800000.0,2024-03-31
0.0,0.246368,3048000000.0,,,2101200000.0,252100000.0,2992200000.0,3048000000.0,2795900000.0,80400000.0,7800000.0,2101200000.0,2101200000.0,6590500000.0,,,,,2101200000.0,2101200000.0,0.0,2101200000.0,2101200000.0,2101200000.0,686900000.0,2788100000.0,-354700000.0,,80400000.0,7800000.0,2586900000.0,3598300000.0,797300000.0,252100000.0,-11900000.0,579000000.0,503800000.0,6185200000.0,2992200000.0,9177400000.0,9177400000.0,2023-12-31
0.0,0.241226,2276300000.0,,,1519900000.0,265000000.0,4343100000.0,2276300000.0,2011300000.0,-8200000.0,8200000.0,1519900000.0,1519900000.0,5707100000.0,73142445.0,73107263.0,20.78,20.79,1519900000.0,1519900000.0,0.0,1519900000.0,1519900000.0,1519900000.0,483200000.0,2003100000.0,359700000.0,,-8200000.0,8200000.0,1651600000.0,1364000000.0,822900000.0,265000000.0,265000000.0,276100000.0,276100000.0,3015600000.0,4343100000.0,7358700000.0,7358700000.0,2023-09-30
0.0,0.227597,2219000000.0,,,1505800000.0,260700000.0,4347300000.0,2219000000.0,1958300000.0,-8800000.0,8800000.0,1505800000.0,1505800000.0,5889900000.0,73132589.0,73097087.0,20.59,20.6,1505800000.0,1505800000.0,0.0,1505800000.0,1505800000.0,1505800000.0,443700000.0,1949500000.0,177800000.0,,-8800000.0,8800000.0,1820300000.0,1542600000.0,958400000.0,260700000.0,260700000.0,323500000.0,323500000.0,3362900000.0,4347300000.0,7710200000.0,7710200000.0,2023-06-30
0.0,0.247276,2208100000.0,,,1457500000.0,260000000.0,3926900000.0,2208100000.0,1948100000.0,-11800000.0,11800000.0,1457500000.0,1457500000.0,5307400000.0,73094283.0,73057644.0,19.94,19.95,1457500000.0,1457500000.0,0.0,1457500000.0,1457500000.0,1457500000.0,478800000.0,1936300000.0,173400000.0,,-11800000.0,11800000.0,1841500000.0,1380500000.0,795400000.0,260000000.0,260000000.0,325100000.0,325100000.0,3222000000.0,3926900000.0,7148900000.0,7148900000.0,2023-03-31
,,,181800000.0,181800000.0,,,,,,,,,,,,,,,,,,,,,,,,17700000.0,,,,,,,,,,,,,,2022-12-31
0.0,0.278178,2247400000.0,,,1501100000.0,161300000.0,4475100000.0,2247400000.0,2086100000.0,-6500000.0,6500000.0,1501100000.0,1501100000.0,6065400000.0,73117389.0,73117389.0,20.53,20.53,1501100000.0,1501100000.0,0.0,1501100000.0,1501100000.0,1501100000.0,578500000.0,2079600000.0,180900000.0,,-6500000.0,6500000.0,1908100000.0,1590300000.0,1111800000.0,161300000.0,161300000.0,317200000.0,317200000.0,3498400000.0,4475100000.0,7973500000.0,7973500000.0,2024-06-30 00:00:00
0.0,0.249333,2451700000.0,,,1715500000.0,159800000.0,4295100000.0,2451700000.0,2291900000.0,-6600000.0,6600000.0,1715500000.0,1715500000.0,5335200000.0,73124467.0,73124467.0,23.46,23.46,1715500000.0,1715500000.0,0.0,1715500000.0,1715500000.0,1715500000.0,569800000.0,2285300000.0,-577100000.0,,-6600000.0,6600000.0,2783200000.0,1040100000.0,478400000.0,159800000.0,159800000.0,401900000.0,401900000.0,3823300000.0,4295100000.0,8118400000.0,8118400000.0,2024-09-30 00:00:00
